Roky,Území,Ukazatel,value
2023,Česko,Přistěhovalí celkem,141263
2023,Česko,Přistěhovalí z jiného kraje ČR,0
2023,Česko,Přistěhovalí z ciziny,141263
2023,Česko,Vystěhovalí celkem,46591
2023,Česko,Vystěhovalí do jiného kraje ČR,0
2023,Česko,Vystěhovalí do ciziny,46591
2023,Česko,Přírůstek/úbytek stěhováním celkem,94672
2023,Česko,Přírůstek/úbytek stěhováním mezi kraji,0
2023,Česko,Přírůstek/úbytek zahraničním stěhováním,94672
2023,Hlavní město Praha,Přistěhovalí celkem,67699
2023,Hlavní město Praha,Přistěhovalí z jiného kraje ČR,27848
2023,Hlavní město Praha,Přistěhovalí z ciziny,39851
2023,Hlavní město Praha,Vystěhovalí celkem,40656
2023,Hlavní město Praha,Vystěhovalí do jiného kraje ČR,27601
2023,Hlavní město Praha,Vystěhovalí do ciziny,13055
2023,Hlavní město Praha,Přírůstek/úbytek stěhováním celkem,27043
2023,Hlavní město Praha,Přírůstek/úbytek stěhováním mezi kraji,247
2023,Hlavní město Praha,Přírůstek/úbytek zahraničním stěhováním,26796
2023,Středočeský kraj,Přistěhovalí celkem,45642
2023,Středočeský kraj,Přistěhovalí z jiného kraje ČR,27484
2023,Středočeský kraj,Přistěhovalí z ciziny,18158
2023,Středočeský kraj,Vystěhovalí celkem,27577
2023,Středočeský kraj,Vystěhovalí do jiného kraje ČR,21116
2023,Středočeský kraj,Vystěhovalí do ciziny,6461
2023,Středočeský kraj,Přírůstek/úbytek stěhováním celkem,18065
2023,Středočeský kraj,Přírůstek/úbytek stěhováním mezi kraji,6368
2023,Středočeský kraj,Přírůstek/úbytek zahraničním stěhováním,11697
2023,Jihočeský kraj,Přistěhovalí celkem,11412
2023,Jihočeský kraj,Přistěhovalí z jiného kraje ČR,5498
2023,Jihočeský kraj,Přistěhovalí z ciziny,5914
2023,Jihočeský kraj,Vystěhovalí celkem,7620
2023,Jihočeský kraj,Vystěhovalí do jiného kraje ČR,5620
2023,Jihočeský kraj,Vystěhovalí do ciziny,2000
2023,Jihočeský kraj,Přírůstek/úbytek stěhováním celkem,3792
2023,Jihočeský kraj,Přírůstek/úbytek stěhováním mezi kraji,-122
2023,Jihočeský kraj,Přírůstek/úbytek zahraničním stěhováním,3914
2023,Plzeňský kraj,Přistěhovalí celkem,18616
2023,Plzeňský kraj,Přistěhovalí z jiného kraje ČR,6261
2023,Plzeňský kraj,Přistěhovalí z ciziny,12355
2023,Plzeňský kraj,Vystěhovalí celkem,9461
2023,Plzeňský kraj,Vystěhovalí do jiného kraje ČR,6016
2023,Plzeňský kraj,Vystěhovalí do ciziny,3445
2023,Plzeňský kraj,Přírůstek/úbytek stěhováním celkem,9155
2023,Plzeňský kraj,Přírůstek/úbytek stěhováním mezi kraji,245
