Ukazatel;Území;Období;value
Počet obyvatel;Česko;31.12.2024;10909500
Počet obyvatel;Česko;30.09.2024;10903158
Počet obyvatel;Česko;30.06.2024;10886531
Počet obyvatel;Česko;31.03.2024;10868033
Počet obyvatel;Česko;31.12.2023;10900555
Počet obyvatel;Česko;30.09.2023;10889092
Počet obyvatel;Česko;30.06.2023;10878042
Počet obyvatel;Česko;31.03.2023;10852526
Počet obyvatel;Česko;31.12.2022;10827529
Počet obyvatel;Česko;30.09.2022;10800635
Počet obyvatel;Česko;30.06.2022;10759525
Počet obyvatel;Česko;31.03.2022;10669185
Počet obyvatel;Česko;31.12.2021;10516707
Počet obyvatel;Česko;30.09.2021;10511109
Počet obyvatel;Česko;30.06.2021;10500850
Počet obyvatel;Česko;31.03.2021;10488351
Počet obyvatel;Česko;31.12.2020;10701777
Počet obyvatel;Česko;30.09.2020;10710234
Počet obyvatel;Česko;30.06.2020;10700155
Počet obyvatel;Česko;31.03.2020;10694885
Počet obyvatel;Hlavní město Praha;31.12.2024;1397880
Počet obyvatel;Hlavní město Praha;30.09.2024;1393353
Počet obyvatel;Hlavní město Praha;30.06.2024;1387354
Počet obyvatel;Hlavní město Praha;31.03.2024;1381433
Počet obyvatel;Hlavní město Praha;31.12.2023;1384732
Počet obyvatel;Hlavní město Praha;30.09.2023;1378719
Počet obyvatel;Hlavní město Praha;30.06.2023;1374334
Počet obyvatel;Hlavní město Praha;31.03.2023;1366093
Počet obyvatel;Hlavní město Praha;31.12.2022;1357326
Počet obyvatel;Hlavní město Praha;30.09.2022;1347924
Počet obyvatel;Hlavní město Praha;30.06.2022;1338530
Počet obyvatel;Hlavní město Praha;31.03.2022;1316354
Počet obyvatel;Hlavní město Praha;31.12.2021;1275406
Počet obyvatel;Hlavní město Praha;30.09.2021;1269793
Počet obyvatel;Hlavní město Praha;30.06.2021;1267173
Počet obyvatel;Hlavní město Praha;31.03.2021;1261782
Počet obyvatel;Hlavní město Praha;31.12.2020;1335084
Počet obyvatel;Hlavní město Praha;30.09.2020;1331984
Počet obyvatel;Hlavní město Praha;30.06.2020;1327272
Počet obyvatel;Hlavní město Praha;31.03.2020;1325438
Počet obyvatel;Středočeský kraj;31.12.2024;1466215
Počet obyvatel;Středočeský kraj;30.09.2024;1463897
Počet obyvatel;Středočeský kraj;30.06.2024;1459625
Počet obyvatel;Středočeský kraj;31.03.2024;1454520
Počet obyvatel;Středočeský kraj;31.12.2023;1455940
Počet obyvatel;Středočeský kraj;30.09.2023;1453229
Počet obyvatel;Středočeský kraj;30.06.2023;1450379
Počet obyvatel;Středočeský kraj;31.03.2023;1445201
Počet obyvatel;Středočeský kraj;31.12.2022;1439391
Počet obyvatel;Středočeský kraj;30.09.2022;1434630
Počet obyvatel;Středočeský kraj;30.06.2022;1427394
Počet obyvatel;Středočeský kraj;31.03.2022;1411839
Počet obyvatel;Středočeský kraj;31.12.2021;1386824
Počet obyvatel;Středočeský kraj;30.09.2021;1383729
Počet obyvatel;Středočeský kraj;30.06.2021;1380006
Počet obyvatel;Středočeský kraj;31.03.2021;1375538
Počet obyvatel;Středočeský kraj;31.12.2020;1397997
Počet obyvatel;Středočeský kraj;30.09.2020;1396509
Počet obyvatel;Středočeský kraj;30.06.2020;1392407
Počet obyvatel;Středočeský kraj;31.03.2020;1388617
Počet obyvatel;Jihočeský kraj;31.12.2024;653227
Počet obyvatel;Jihočeský kraj;30.09.2024;653474
Počet obyvatel;Jihočeský kraj;30.06.2024;653120
Počet obyvatel;Jihočeský kraj;31.03.2024;652478
Počet obyvatel;Jihočeský kraj;31.12.2023;654505
Počet obyvatel;Jihočeský kraj;30.09.2023;654498
Počet obyvatel;Jihočeský kraj;30.06.2023;654078
Počet obyvatel;Jihočeský kraj;31.03.2023;653175
Počet obyvatel;Jihočeský kraj;31.12.2022;652303
Počet obyvatel;Jihočeský kraj;30.09.2022;651313
Počet obyvatel;Jihočeský kraj;30.06.2022;649455
Počet obyvatel;Jihočeský kraj;31.03.2022;644909
Počet obyvatel;Jihočeský kraj;31.12.2021;637047
Počet obyvatel;Jihočeský kraj;30.09.2021;636941
Počet obyvatel;Jihočeský kraj;30.06.2021;636286
Počet obyvatel;Jihočeský kraj;31.03.2021;635766
Počet obyvatel;Jihočeský kraj;31.12.2020;643551
Počet obyvatel;Jihočeský kraj;30.09.2020;644279
Počet obyvatel;Jihočeský kraj;30.06.2020;643759
Počet obyvatel;Jihočeský kraj;31.03.2020;643363
Počet obyvatel;Plzeňský kraj;31.12.2024;614640
Počet obyvatel;Plzeňský kraj;30.09.2024;613450
Počet obyvatel;Plzeňský kraj;30.06.2024;611601
Počet obyvatel;Plzeňský kraj;31.03.2024;610014
Počet obyvatel;Plzeňský kraj;31.12.2023;613374
Počet obyvatel;Plzeňský kraj;30.09.2023;611635
Počet obyvatel;Plzeňský kraj;30.06.2023;610148
Počet obyvatel;Plzeňský kraj;31.03.2023;607862
Počet obyvatel;Plzeňský kraj;31.12.2022;605388
Počet obyvatel;Plzeňský kraj;30.09.2022;602881
Počet obyvatel;Plzeňský kraj;30.06.2022;598258
Počet obyvatel;Plzeňský kraj;31.03.2022;590492
Počet obyvatel;Plzeňský kraj;31.12.2021;578707
Počet obyvatel;Plzeňský kraj;30.09.2021;578075
Počet obyvatel;Plzeňský kraj;30.06.2021;577190
Počet obyvatel;Plzeňský kraj;31.03.2021;575882
Počet obyvatel;Plzeňský kraj;31.12.2020;591041
Počet obyvatel;Plzeňský kraj;30.09.2020;591687
Počet obyvatel;Plzeňský kraj;30.06.2020;590889
Počet obyvatel;Plzeňský kraj;31.03.2020;590452
