Šetření,Kumulace čtvrtletí,Území,Ukazatel,value
Pracovištní metoda,Q1-Q2 2025,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),826.617823706
Pracovištní metoda,Q1-Q2 2025,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62395.036985578
Pracovištní metoda,Q1-Q2 2025,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.6730166945
Pracovištní metoda,Q1-Q2 2025,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.9342543969
Pracovištní metoda,Q1-Q2 2025,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),425.641415958
Pracovištní metoda,Q1-Q2 2025,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),49087.1853659588
Pracovištní metoda,Q1-Q2 2025,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.122186826
Pracovištní metoda,Q1-Q2 2025,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7351849773
Pracovištní metoda,Q1-Q2 2025,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),219.622806538
Pracovištní metoda,Q1-Q2 2025,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43159.0785692098
Pracovištní metoda,Q1-Q2 2025,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5000131359
Pracovištní metoda,Q1-Q2 2025,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.9188270042
Pracovištní metoda,Q1-Q2 2025,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.5143977116
Pracovištní metoda,Q1-Q2 2025,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44579.7073642424
Pracovištní metoda,Q1-Q2 2025,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4542622916
Pracovištní metoda,Q1-Q2 2025,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4533396139
Pracovištní metoda,Q1-Q2 2025,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),85.3983361079
Pracovištní metoda,Q1-Q2 2025,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),40726.1860611478
Pracovištní metoda,Q1-Q2 2025,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.3225195571
Pracovištní metoda,Q1-Q2 2025,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.0590089376
Pracovištní metoda,Q1-Q2 2025,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),241.4178688614
Pracovištní metoda,Q1-Q2 2025,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43927.2564470349
Pracovištní metoda,Q1-Q2 2025,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4060310124
Pracovištní metoda,Q1-Q2 2025,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.5080649805
Pracovištní metoda,Q1-Q2 2025,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),144.4857260192
Pracovištní metoda,Q1-Q2 2025,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42671.3915518345
Pracovištní metoda,Q1-Q2 2025,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.2936302485
Pracovištní metoda,Q1-Q2 2025,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.8148773907
Pracovištní metoda,Q1-Q2 2025,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),195.5196708229
Pracovištní metoda,Q1-Q2 2025,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44250.0100179855
Pracovištní metoda,Q1-Q2 2025,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.1467639914
Pracovištní metoda,Q1-Q2 2025,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.271074992
Pracovištní metoda,Q1-Q2 2025,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),183.9296067035
