Území,Ukazatel,Měsíce,value
Česko,Index průmyslové produkce - meziroční růst/pokles (%),srpen 2025,-1.2863035324
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červenec 2025,1.774608627
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červen 2025,0.1376176661
Česko,Index průmyslové produkce - meziroční růst/pokles (%),květen 2025,2.3063772102
Česko,Index průmyslové produkce - meziroční růst/pokles (%),duben 2025,1.5896772088
Česko,Index průmyslové produkce - meziroční růst/pokles (%),březen 2025,1.4929850819
Česko,Index průmyslové produkce - meziroční růst/pokles (%),únor 2025,1.4745401698
Česko,Index průmyslové produkce - meziroční růst/pokles (%),leden 2025,-0.9965815263
Česko,Index průmyslové produkce - meziroční růst/pokles (%),prosinec 2024,-2.7194702458
Česko,Index průmyslové produkce - meziroční růst/pokles (%),listopad 2024,-2.351253076
Česko,Index průmyslové produkce - meziroční růst/pokles (%),říjen 2024,-1.5895894336
Česko,Index průmyslové produkce - meziroční růst/pokles (%),září 2024,1.8754598562
Česko,Index průmyslové produkce - meziroční růst/pokles (%),srpen 2024,1.8608728128
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červenec 2024,-1.6514296527
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červen 2024,-2.5702025503
Česko,Index průmyslové produkce - meziroční růst/pokles (%),květen 2024,-2.4246974255
Česko,Index průmyslové produkce - meziroční růst/pokles (%),duben 2024,0.4117911822
Česko,Index průmyslové produkce - meziroční růst/pokles (%),březen 2024,-2.193607215
Česko,Index průmyslové produkce - meziroční růst/pokles (%),únor 2024,-0.9809055503
Česko,Index průmyslové produkce - meziroční růst/pokles (%),leden 2024,0.2421154099
Česko,Index průmyslové produkce - meziroční růst/pokles (%),prosinec 2023,-0.3135004442
Česko,Index průmyslové produkce - meziroční růst/pokles (%),listopad 2023,-2.8110085792
Česko,Index průmyslové produkce - meziroční růst/pokles (%),říjen 2023,1.071948222
Česko,Index průmyslové produkce - meziroční růst/pokles (%),září 2023,-4.7151146592
Česko,Index průmyslové produkce - meziroční růst/pokles (%),srpen 2023,-2.1706034199
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červenec 2023,-3.2295883634
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červen 2023,-0.0479650754
Česko,Index průmyslové produkce - meziroční růst/pokles (%),květen 2023,0.0552233447
Česko,Index průmyslové produkce - meziroční růst/pokles (%),duben 2023,0.8409203993
Česko,Index průmyslové produkce - meziroční růst/pokles (%),březen 2023,2.0432793275
Česko,Index průmyslové produkce - meziroční růst/pokles (%),únor 2023,1.7125556979
Česko,Index průmyslové produkce - meziroční růst/pokles (%),leden 2023,-2.2697037834
Česko,Index průmyslové produkce - meziroční růst/pokles (%),prosinec 2022,4.3784984741
Česko,Index průmyslové produkce - meziroční růst/pokles (%),listopad 2022,0.417748706
Česko,Index průmyslové produkce - meziroční růst/pokles (%),říjen 2022,2.7697041873
Česko,Index průmyslové produkce - meziroční růst/pokles (%),září 2022,7.9632934525
Česko,Index průmyslové produkce - meziroční růst/pokles (%),srpen 2022,6.3532776748
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červenec 2022,0.6176677051
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červen 2022,3.0595971826
Česko,Index průmyslové produkce - meziroční růst/pokles (%),květen 2022,2.0424791733
Česko,Index průmyslové produkce - meziroční růst/pokles (%),duben 2022,-3.3620294121
Česko,Index průmyslové produkce - meziroční růst/pokles (%),březen 2022,-0.1701543059
Česko,Index průmyslové produkce - meziroční růst/pokles (%),únor 2022,0.3022799922
Česko,Index průmyslové produkce - meziroční růst/pokles (%),leden 2022,1.4961102377
Česko,Index průmyslové produkce - meziroční růst/pokles (%),prosinec 2021,-1.6849864155
Česko,Index průmyslové produkce - meziroční růst/pokles (%),listopad 2021,1.2728193047
Česko,Index průmyslové produkce - meziroční růst/pokles (%),říjen 2021,-4.2725977009
Česko,Index průmyslové produkce - meziroční růst/pokles (%),září 2021,-3.2583738033
Česko,Index průmyslové produkce - meziroční růst/pokles (%),srpen 2021,-0.8142272344
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červenec 2021,6.4255350546
Česko,Index průmyslové produkce - meziroční růst/pokles (%),červen 2021,11.902828058
Česko,Index průmyslové produkce - meziroční růst/pokles (%),květen 2021,23.4487628405
Česko,Index průmyslové produkce - meziroční růst/pokles (%),duben 2021,48.9706070853
Česko,Index průmyslové produkce - meziroční růst/pokles (%),březen 2021,13.4845271864
Česko,Index průmyslové produkce - meziroční růst/pokles (%),únor 2021,-2.0043932505
Česko,Index průmyslové produkce - meziroční růst/pokles (%),leden 2021,0.9469054984
