Roky,Území,Ukazatel,value
2023,Česko,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,279227.0
2023,Česko,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,256264.0
2023,Česko,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,37322.0
2023,Česko,Podíl nezaměstnaných osob - celkem (%),3.7308018
2023,Česko,Podíl nezaměstnaných osob - muži (%),3.43401877
2023,Česko,Podíl nezaměstnaných osob - ženy (%),4.03615604
2023,Česko,Volná pracovní místa v evidenci úřadu práce ,271789.0
2023,Česko,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.02736681764163
2023,Hlavní město Praha,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,27425.0
2023,Hlavní město Praha,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,24760.0
2023,Hlavní město Praha,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,1802.0
2023,Hlavní město Praha,Podíl nezaměstnaných osob - celkem (%),2.80275023
2023,Hlavní město Praha,Podíl nezaměstnaných osob - muži (%),2.44217984
2023,Hlavní město Praha,Podíl nezaměstnaných osob - ženy (%),3.16023679
2023,Hlavní město Praha,Volná pracovní místa v evidenci úřadu práce ,79569.0
2023,Hlavní město Praha,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,0.344669406427126
2023,Středočeský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,31620.0
2023,Středočeský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,28953.0
2023,Středočeský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,3636.0
2023,Středočeský kraj,Podíl nezaměstnaných osob - celkem (%),3.17334535
2023,Středočeský kraj,Podíl nezaměstnaných osob - muži (%),2.77352783
2023,Středočeský kraj,Podíl nezaměstnaných osob - ženy (%),3.58013908
2023,Středočeský kraj,Volná pracovní místa v evidenci úřadu práce ,55801.0
2023,Středočeský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,0.566656511532051
2023,Jihočeský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,14022.0
2023,Jihočeský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,12751.0
2023,Jihočeský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,2008.0
2023,Jihočeský kraj,Podíl nezaměstnaných osob - celkem (%),3.11590502
2023,Jihočeský kraj,Podíl nezaměstnaných osob - muži (%),2.90573822
2023,Jihočeský kraj,Podíl nezaměstnaných osob - ženy (%),3.33206105
2023,Jihočeský kraj,Volná pracovní místa v evidenci úřadu práce ,13678.0
2023,Jihočeský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,1.02514987571282
2023,Plzeňský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,12250.0
2023,Plzeňský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,11187.0
2023,Plzeňský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,2021.0
2023,Plzeňský kraj,Podíl nezaměstnaných osob - celkem (%),2.89671566
2023,Plzeňský kraj,Podíl nezaměstnaných osob - muži (%),2.59308408
2023,Plzeňský kraj,Podíl nezaměstnaných osob - ženy (%),3.20694367
2023,Plzeňský kraj,Volná pracovní místa v evidenci úřadu práce ,20386.0
2023,Plzeňský kraj,Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo,0.6009025802021
2023,Karlovarský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - celkem,8910.0
2023,Karlovarský kraj,Uchazeči o zaměstnání v evidenci úřadu práce - dosažitelní,8209.0
2023,Karlovarský kraj,Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením,931.0
2023,Karlovarský kraj,Podíl nezaměstnaných osob - celkem (%),4.37981518
2023,Karlovarský kraj,Podíl nezaměstnaných osob - muži (%),3.94796727
2023,Karlovarský kraj,Podíl nezaměstnaných osob - ženy (%),4.81877158
2023,Karlovarský kraj,Volná pracovní místa v evidenci úřadu práce ,5869.0
