Ukazatel;Území;Roky;value
Počet obyvatel - celkem;Česko;2024;10909500.0
Počet obyvatel - celkem;Česko;2023;10900555.0
Počet obyvatel - celkem;Česko;2022;10827529.0
Počet obyvatel - celkem;Česko;2021;10516707.0
Počet obyvatel - celkem;Česko;2020;10701777.0
Počet obyvatel - celkem;Česko;2019;10693939.0
Počet obyvatel - celkem;Česko;2018;10649800.0
Počet obyvatel - celkem;Česko;2017;10610055.0
Počet obyvatel - celkem;Česko;2016;10578820.0
Počet obyvatel - celkem;Česko;2015;10553843.0
Počet obyvatel - celkem;Česko;2014;10538275.0
Počet obyvatel - celkem;Česko;2013;10512419.0
Počet obyvatel - celkem;Česko;2012;10516125.0
Počet obyvatel - celkem;Česko;2011;10505445.0
Počet obyvatel - celkem;Česko;2010;10532770.0
Počet obyvatel - celkem;Česko;2009;10506813.0
Počet obyvatel - celkem;Česko;2008;10467542.0
Počet obyvatel - celkem;Česko;2007;10381130.0
Počet obyvatel - celkem;Česko;2006;10287189.0
Počet obyvatel - celkem;Česko;2005;10251079.0
Počet obyvatel - celkem;Česko;2004;10220577.0
Počet obyvatel - celkem;Česko;2003;10211455.0
Počet obyvatel - celkem;Česko;2002;10203269.0
Počet obyvatel - celkem;Česko;2001;10206436.0
Počet obyvatel - celkem;Česko;2000;10266546.0
Počet obyvatel - celkem;Česko;1999;10278098.0
Počet obyvatel - celkem;Česko;1998;10289621.0
Počet obyvatel - celkem;Česko;1997;10299125.0
Počet obyvatel - celkem;Česko;1996;10309137.0
Počet obyvatel - celkem;Česko;1995;10321344.0
Počet obyvatel - celkem;Česko;1994;10333161.0
Počet obyvatel - celkem;Česko;1993;10334013.0
Počet obyvatel - celkem;Česko;1992;10325697.0
Počet obyvatel - celkem;Česko;1991;10312548.0
Počet obyvatel - celkem;Česko;1990;10304607.0
Počet obyvatel - celkem;Česko;1989;10362102.0
Počet obyvatel - celkem;Česko;1988;10360034.0
Počet obyvatel - celkem;Česko;1987;10350517.0
Počet obyvatel - celkem;Česko;1986;10344119.0
Počet obyvatel - celkem;Česko;1985;10340335.0
Počet obyvatel - celkem;Česko;1984;10333900.0
Počet obyvatel - celkem;Česko;1983;10326526.0
Počet obyvatel - celkem;Česko;1982;10321186.0
Počet obyvatel - celkem;Česko;1981;10308465.0
Počet obyvatel - celkem;Hlavní město Praha;2024;1397880.0
Počet obyvatel - celkem;Hlavní město Praha;2023;1384732.0
Počet obyvatel - celkem;Hlavní město Praha;2022;1357326.0
Počet obyvatel - celkem;Hlavní město Praha;2021;1275406.0
Počet obyvatel - celkem;Hlavní město Praha;2020;1335084.0
Počet obyvatel - celkem;Hlavní město Praha;2019;1324277.0
Počet obyvatel - celkem;Hlavní město Praha;2018;1308632.0
Počet obyvatel - celkem;Hlavní město Praha;2017;1294513.0
Počet obyvatel - celkem;Hlavní město Praha;2016;1280508.0
Počet obyvatel - celkem;Hlavní město Praha;2015;1267449.0
Počet obyvatel - celkem;Hlavní město Praha;2014;1259079.0
Počet obyvatel - celkem;Hlavní město Praha;2013;1243201.0
Počet obyvatel - celkem;Hlavní město Praha;2012;1246780.0
Počet obyvatel - celkem;Hlavní město Praha;2011;1241664.0
Počet obyvatel - celkem;Hlavní město Praha;2010;1257158.0
Počet obyvatel - celkem;Hlavní město Praha;2009;1249026.0
Počet obyvatel - celkem;Hlavní město Praha;2008;1233211.0
Počet obyvatel - celkem;Hlavní město Praha;2007;1212097.0
Počet obyvatel - celkem;Hlavní město Praha;2006;1188126.0
Počet obyvatel - celkem;Hlavní město Praha;2005;1181610.0
Počet obyvatel - celkem;Hlavní město Praha;2004;1170571.0
Počet obyvatel - celkem;Hlavní město Praha;2003;1165581.0
Počet obyvatel - celkem;Hlavní město Praha;2002;1161938.0
Počet obyvatel - celkem;Hlavní město Praha;2001;1160118.0
Počet obyvatel - celkem;Hlavní město Praha;2000;1181126.0
Počet obyvatel - celkem;Hlavní město Praha;1999;1186855.0
Počet obyvatel - celkem;Hlavní město Praha;1998;1193270.0
Počet obyvatel - celkem;Hlavní město Praha;1997;1200455.0
Počet obyvatel - celkem;Hlavní město Praha;1996;1204953.0
Počet obyvatel - celkem;Hlavní město Praha;1995;1209855.0
Počet obyvatel - celkem;Hlavní město Praha;1994;1214584.0
Počet obyvatel - celkem;Hlavní město Praha;1993;1217023.0
Počet obyvatel - celkem;Hlavní město Praha;1992;1217315.0
Počet obyvatel - celkem;Hlavní město Praha;1991;1216889.0
Počet obyvatel - celkem;Hlavní město Praha;1990;1215327.0
Počet obyvatel - celkem;Hlavní město Praha;1989;1214885.0
Počet obyvatel - celkem;Hlavní město Praha;1988;
Počet obyvatel - celkem;Hlavní město Praha;1987;
Počet obyvatel - celkem;Hlavní město Praha;1986;
Počet obyvatel - celkem;Hlavní město Praha;1985;
Počet obyvatel - celkem;Hlavní město Praha;1984;
Počet obyvatel - celkem;Hlavní město Praha;1983;
Počet obyvatel - celkem;Hlavní město Praha;1982;
Počet obyvatel - celkem;Hlavní město Praha;1981;
Počet obyvatel - celkem;Středočeský kraj;2024;1466215.0
Počet obyvatel - celkem;Středočeský kraj;2023;1455940.0
Počet obyvatel - celkem;Středočeský kraj;2022;1439391.0
Počet obyvatel - celkem;Středočeský kraj;2021;1386824.0
Počet obyvatel - celkem;Středočeský kraj;2020;1397997.0
Počet obyvatel - celkem;Středočeský kraj;2019;1385141.0
Počet obyvatel - celkem;Středočeský kraj;2018;1369332.0
Počet obyvatel - celkem;Středočeský kraj;2017;1352795.0
Počet obyvatel - celkem;Středočeský kraj;2016;1338982.0
Počet obyvatel - celkem;Středočeský kraj;2015;1326876.0
Počet obyvatel - celkem;Středočeský kraj;2014;1315299.0
Počet obyvatel - celkem;Středočeský kraj;2013;1302336.0
Počet obyvatel - celkem;Středočeský kraj;2012;1291816.0
Počet obyvatel - celkem;Středočeský kraj;2011;1279345.0
Počet obyvatel - celkem;Středočeský kraj;2010;1264978.0
Počet obyvatel - celkem;Středočeský kraj;2009;1247533.0
Počet obyvatel - celkem;Středočeský kraj;2008;1230691.0
Počet obyvatel - celkem;Středočeský kraj;2007;1201827.0
Počet obyvatel - celkem;Středočeský kraj;2006;1175254.0
Počet obyvatel - celkem;Středočeský kraj;2005;1158108.0
Počet obyvatel - celkem;Středočeský kraj;2004;1144071.0
Počet obyvatel - celkem;Středočeský kraj;2003;1135795.0
Počet obyvatel - celkem;Středočeský kraj;2002;1128674.0
Počet obyvatel - celkem;Středočeský kraj;2001;1123931.0
Počet obyvatel - celkem;Středočeský kraj;2000;1115038.0
Počet obyvatel - celkem;Středočeský kraj;1999;1111354.0
Počet obyvatel - celkem;Středočeský kraj;1998;1108465.0
Počet obyvatel - celkem;Středočeský kraj;1997;1105964.0
Počet obyvatel - celkem;Středočeský kraj;1996;1105234.0
Počet obyvatel - celkem;Středočeský kraj;1995;1106738.0
Počet obyvatel - celkem;Středočeský kraj;1994;1108007.0
Počet obyvatel - celkem;Středočeský kraj;1993;1108935.0
Počet obyvatel - celkem;Středočeský kraj;1992;1110114.0
Počet obyvatel - celkem;Středočeský kraj;1991;1111244.0
Počet obyvatel - celkem;Středočeský kraj;1990;1114116.0
Počet obyvatel - celkem;Středočeský kraj;1989;1118040.0
Počet obyvatel - celkem;Středočeský kraj;1988;
Počet obyvatel - celkem;Středočeský kraj;1987;
Počet obyvatel - celkem;Středočeský kraj;1986;
Počet obyvatel - celkem;Středočeský kraj;1985;
Počet obyvatel - celkem;Středočeský kraj;1984;
Počet obyvatel - celkem;Středočeský kraj;1983;
Počet obyvatel - celkem;Středočeský kraj;1982;
Počet obyvatel - celkem;Středočeský kraj;1981;
Počet obyvatel - celkem;Jihočeský kraj;2024;653227.0
Počet obyvatel - celkem;Jihočeský kraj;2023;654505.0
Počet obyvatel - celkem;Jihočeský kraj;2022;652303.0
Počet obyvatel - celkem;Jihočeský kraj;2021;637047.0
Počet obyvatel - celkem;Jihočeský kraj;2020;643551.0
Počet obyvatel - celkem;Jihočeský kraj;2019;644083.0
Počet obyvatel - celkem;Jihočeský kraj;2018;642133.0
Počet obyvatel - celkem;Jihočeský kraj;2017;640196.0
Počet obyvatel - celkem;Jihočeský kraj;2016;638782.0
Počet obyvatel - celkem;Jihočeský kraj;2015;637834.0
Počet obyvatel - celkem;Jihočeský kraj;2014;637300.0
Počet obyvatel - celkem;Jihočeský kraj;2013;636707.0
Počet obyvatel - celkem;Jihočeský kraj;2012;636611.0
Počet obyvatel - celkem;Jihočeský kraj;2011;636138.0
Počet obyvatel - celkem;Jihočeský kraj;2010;638706.0
Počet obyvatel - celkem;Jihočeský kraj;2009;637643.0
Počet obyvatel - celkem;Jihočeský kraj;2008;636328.0
Počet obyvatel - celkem;Jihočeský kraj;2007;633264.0
Počet obyvatel - celkem;Jihočeský kraj;2006;630006.0
Počet obyvatel - celkem;Jihočeský kraj;2005;627766.0
Počet obyvatel - celkem;Jihočeský kraj;2004;625712.0
Počet obyvatel - celkem;Jihočeský kraj;2003;625541.0
Počet obyvatel - celkem;Jihočeský kraj;2002;625097.0
Počet obyvatel - celkem;Jihočeský kraj;2001;624568.0
Počet obyvatel - celkem;Jihočeský kraj;2000;625874.0
Počet obyvatel - celkem;Jihočeský kraj;1999;626112.0
Počet obyvatel - celkem;Jihočeský kraj;1998;626634.0
Počet obyvatel - celkem;Jihočeský kraj;1997;626570.0
Počet obyvatel - celkem;Jihočeský kraj;1996;626533.0
Počet obyvatel - celkem;Jihočeský kraj;1995;626867.0
Počet obyvatel - celkem;Jihočeský kraj;1994;627123.0
Počet obyvatel - celkem;Jihočeský kraj;1993;626391.0
Počet obyvatel - celkem;Jihočeský kraj;1992;625097.0
Počet obyvatel - celkem;Jihočeský kraj;1991;624111.0
Počet obyvatel - celkem;Jihočeský kraj;1990;622611.0
Počet obyvatel - celkem;Jihočeský kraj;1989;624165.0
Počet obyvatel - celkem;Jihočeský kraj;1988;
Počet obyvatel - celkem;Jihočeský kraj;1987;
Počet obyvatel - celkem;Jihočeský kraj;1986;
Počet obyvatel - celkem;Jihočeský kraj;1985;
Počet obyvatel - celkem;Jihočeský kraj;1984;
Počet obyvatel - celkem;Jihočeský kraj;1983;
Počet obyvatel - celkem;Jihočeský kraj;1982;
Počet obyvatel - celkem;Jihočeský kraj;1981;
Počet obyvatel - celkem;Plzeňský kraj;2024;614640.0
Počet obyvatel - celkem;Plzeňský kraj;2023;613374.0
Počet obyvatel - celkem;Plzeňský kraj;2022;605388.0
Počet obyvatel - celkem;Plzeňský kraj;2021;578707.0
Počet obyvatel - celkem;Plzeňský kraj;2020;591041.0
Počet obyvatel - celkem;Plzeňský kraj;2019;589899.0
Počet obyvatel - celkem;Plzeňský kraj;2018;584672.0
Počet obyvatel - celkem;Plzeňský kraj;2017;580816.0
Počet obyvatel - celkem;Plzeňský kraj;2016;578629.0
Počet obyvatel - celkem;Plzeňský kraj;2015;576616.0
Počet obyvatel - celkem;Plzeňský kraj;2014;575123.0
Počet obyvatel - celkem;Plzeňský kraj;2013;573469.0
Počet obyvatel - celkem;Plzeňský kraj;2012;572687.0
Počet obyvatel - celkem;Plzeňský kraj;2011;571709.0
Počet obyvatel - celkem;Plzeňský kraj;2010;572045.0
