Roky,Území,Ukazatel,value
2024,Hlavní město Praha,Přirozený přírůstek/úbytek,293
2024,Hlavní město Praha,Přírůstek/úbytek stěhováním,12855
2024,Hlavní město Praha,Celkový přírůstek/úbytek,13148
2024,Středočeský kraj,Přirozený přírůstek/úbytek,-2773
2024,Středočeský kraj,Přírůstek/úbytek stěhováním,13048
2024,Středočeský kraj,Celkový přírůstek/úbytek,10275
2024,Jihočeský kraj,Přirozený přírůstek/úbytek,-1856
2024,Jihočeský kraj,Přírůstek/úbytek stěhováním,578
2024,Jihočeský kraj,Celkový přírůstek/úbytek,-1278
2024,Plzeňský kraj,Přirozený přírůstek/úbytek,-1687
2024,Plzeňský kraj,Přírůstek/úbytek stěhováním,2953
2024,Plzeňský kraj,Celkový přírůstek/úbytek,1266
2024,Karlovarský kraj,Přirozený přírůstek/úbytek,-1587
2024,Karlovarský kraj,Přírůstek/úbytek stěhováním,-295
2024,Karlovarský kraj,Celkový přírůstek/úbytek,-1882
2024,Ústecký kraj,Přirozený přírůstek/úbytek,-3361
2024,Ústecký kraj,Přírůstek/úbytek stěhováním,548
2024,Ústecký kraj,Celkový přírůstek/úbytek,-2813
2024,Liberecký kraj,Přirozený přírůstek/úbytek,-1477
2024,Liberecký kraj,Přírůstek/úbytek stěhováním,243
2024,Liberecký kraj,Celkový přírůstek/úbytek,-1234
2024,Královéhradecký kraj,Přirozený přírůstek/úbytek,-1740
2024,Královéhradecký kraj,Přírůstek/úbytek stěhováním,714
2024,Královéhradecký kraj,Celkový přírůstek/úbytek,-1026
2024,Pardubický kraj,Přirozený přírůstek/úbytek,-1241
2024,Pardubický kraj,Přírůstek/úbytek stěhováním,1150
2024,Pardubický kraj,Celkový přírůstek/úbytek,-91
2024,Kraj Vysočina,Přirozený přírůstek/úbytek,-1224
2024,Kraj Vysočina,Přírůstek/úbytek stěhováním,911
2024,Kraj Vysočina,Celkový přírůstek/úbytek,-313
2024,Jihomoravský kraj,Přirozený přírůstek/úbytek,-2371
2024,Jihomoravský kraj,Přírůstek/úbytek stěhováním,4965
2024,Jihomoravský kraj,Celkový přírůstek/úbytek,2594
2024,Olomoucký kraj,Přirozený přírůstek/úbytek,-2024
2024,Olomoucký kraj,Přírůstek/úbytek stěhováním,660
2024,Olomoucký kraj,Celkový přírůstek/úbytek,-1364
2024,Zlínský kraj,Přirozený přírůstek/úbytek,-1859
2024,Zlínský kraj,Přírůstek/úbytek stěhováním,113
2024,Zlínský kraj,Celkový přírůstek/úbytek,-1746
2024,Moravskoslezský kraj,Přirozený přírůstek/úbytek,-4993
2024,Moravskoslezský kraj,Přírůstek/úbytek stěhováním,-1598
2024,Moravskoslezský kraj,Celkový přírůstek/úbytek,-6591
