Roky;Území;Ukazatel;value
2023;Hlavní město Praha;Přirozený přírůstek/úbytek;363
2023;Hlavní město Praha;Přírůstek/úbytek stěhováním;27043
2023;Hlavní město Praha;Celkový přírůstek/úbytek;27406
2023;Středočeský kraj;Přirozený přírůstek/úbytek;-1516
2023;Středočeský kraj;Přírůstek/úbytek stěhováním;18065
2023;Středočeský kraj;Celkový přírůstek/úbytek;16549
2023;Jihočeský kraj;Přirozený přírůstek/úbytek;-1590
2023;Jihočeský kraj;Přírůstek/úbytek stěhováním;3792
2023;Jihočeský kraj;Celkový přírůstek/úbytek;2202
2023;Plzeňský kraj;Přirozený přírůstek/úbytek;-1169
2023;Plzeňský kraj;Přírůstek/úbytek stěhováním;9155
2023;Plzeňský kraj;Celkový přírůstek/úbytek;7986
2023;Karlovarský kraj;Přirozený přírůstek/úbytek;-1215
2023;Karlovarský kraj;Přírůstek/úbytek stěhováním;2697
2023;Karlovarský kraj;Celkový přírůstek/úbytek;1482
2023;Ústecký kraj;Přirozený přírůstek/úbytek;-3185
2023;Ústecký kraj;Přírůstek/úbytek stěhováním;2017
2023;Ústecký kraj;Celkový přírůstek/úbytek;-1168
2023;Liberecký kraj;Přirozený přírůstek/úbytek;-1186
2023;Liberecký kraj;Přírůstek/úbytek stěhováním;2737
2023;Liberecký kraj;Celkový přírůstek/úbytek;1551
2023;Královéhradecký kraj;Přirozený přírůstek/úbytek;-1470
2023;Královéhradecký kraj;Přírůstek/úbytek stěhováním;3152
2023;Královéhradecký kraj;Celkový přírůstek/úbytek;1682
2023;Pardubický kraj;Přirozený přírůstek/úbytek;-911
2023;Pardubický kraj;Přírůstek/úbytek stěhováním;2710
2023;Pardubický kraj;Celkový přírůstek/úbytek;1799
2023;Kraj Vysočina;Přirozený přírůstek/úbytek;-990
2023;Kraj Vysočina;Přírůstek/úbytek stěhováním;4173
2023;Kraj Vysočina;Celkový přírůstek/úbytek;3183
2023;Jihomoravský kraj;Přirozený přírůstek/úbytek;-1657
2023;Jihomoravský kraj;Přírůstek/úbytek stěhováním;11206
2023;Jihomoravský kraj;Celkový přírůstek/úbytek;9549
2023;Olomoucký kraj;Přirozený přírůstek/úbytek;-1659
2023;Olomoucký kraj;Přírůstek/úbytek stěhováním;2721
2023;Olomoucký kraj;Celkový přírůstek/úbytek;1062
2023;Zlínský kraj;Přirozený přírůstek/úbytek;-1415
2023;Zlínský kraj;Přírůstek/úbytek stěhováním;1628
2023;Zlínský kraj;Celkový přírůstek/úbytek;213
2023;Moravskoslezský kraj;Přirozený přírůstek/úbytek;-4046
2023;Moravskoslezský kraj;Přírůstek/úbytek stěhováním;3576
2023;Moravskoslezský kraj;Celkový přírůstek/úbytek;-470
