Ukazatel;Kraje;Roky;value
Průměrný starobní důchod (Kč);Hlavní město Praha;2024;
Průměrný starobní důchod (Kč);Hlavní město Praha;2023;20897.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2022;18714.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2021;16014.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2020;15040.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2019;14027.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2018;12934.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2017;12360.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2016;11973.0
Průměrný starobní důchod (Kč);Hlavní město Praha;2015;11887.0
Průměrný starobní důchod (Kč);Středočeský kraj;2024;
Průměrný starobní důchod (Kč);Středočeský kraj;2023;19697.0
Průměrný starobní důchod (Kč);Středočeský kraj;2022;17562.0
Průměrný starobní důchod (Kč);Středočeský kraj;2021;15012.0
Průměrný starobní důchod (Kč);Středočeský kraj;2020;14121.0
Průměrný starobní důchod (Kč);Středočeský kraj;2019;13156.0
Průměrný starobní důchod (Kč);Středočeský kraj;2018;12107.0
Průměrný starobní důchod (Kč);Středočeský kraj;2017;11565.0
Průměrný starobní důchod (Kč);Středočeský kraj;2016;11196.0
Průměrný starobní důchod (Kč);Středočeský kraj;2015;11103.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2024;
Průměrný starobní důchod (Kč);Jihočeský kraj;2023;19311.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2022;17197.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2021;14709.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2020;13842.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2019;12896.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2018;11850.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2017;11321.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2016;10957.0
Průměrný starobní důchod (Kč);Jihočeský kraj;2015;10869.0
Průměrný starobní důchod (Kč);Plzeňský kraj;2024;
