Území;Měsíce;Ukazatel;value
Česko;březen 2025;Pohyb zboží z ČR (v mil. Kč, FOB);548254.036586
Česko;březen 2025;Pohyb zboží do ČR (v mil. Kč, CIF);473172.889669
Česko;březen 2025;Bilance - pohyb zboží (v mil. Kč);75081.146917
Česko;březen 2025;Pohyb zboží z ČR (meziroční index );105.6197510021
Česko;březen 2025;Pohyb zboží do ČR (meziroční index);107.3264593236
Česko;únor 2025;Pohyb zboží z ČR (v mil. Kč, FOB);503948.065207
Česko;únor 2025;Pohyb zboží do ČR (v mil. Kč, CIF);437214.011553
Česko;únor 2025;Bilance - pohyb zboží (v mil. Kč);66734.053654
Česko;únor 2025;Pohyb zboží z ČR (meziroční index );98.0034236091
Česko;únor 2025;Pohyb zboží do ČR (meziroční index);98.1627336272
Česko;leden 2025;Pohyb zboží z ČR (v mil. Kč, FOB);521087.514236
Česko;leden 2025;Pohyb zboží do ČR (v mil. Kč, CIF);465792.325602
Česko;leden 2025;Bilance - pohyb zboží (v mil. Kč);55295.188634
Česko;leden 2025;Pohyb zboží z ČR (meziroční index );108.0969272437
Česko;leden 2025;Pohyb zboží do ČR (meziroční index);106.3980960297
Česko;prosinec 2024;Pohyb zboží z ČR (v mil. Kč, FOB);458333.16668
Česko;prosinec 2024;Pohyb zboží do ČR (v mil. Kč, CIF);405015.404337
Česko;prosinec 2024;Bilance - pohyb zboží (v mil. Kč);53317.762343
Česko;prosinec 2024;Pohyb zboží z ČR (meziroční index );111.9291832895
Česko;prosinec 2024;Pohyb zboží do ČR (meziroční index);106.980329665
Česko;listopad 2024;Pohyb zboží z ČR (v mil. Kč, FOB);566246.153552
Česko;listopad 2024;Pohyb zboží do ČR (v mil. Kč, CIF);506318.968533
Česko;listopad 2024;Bilance - pohyb zboží (v mil. Kč);59927.185019
Česko;listopad 2024;Pohyb zboží z ČR (meziroční index );106.241513664
Česko;listopad 2024;Pohyb zboží do ČR (meziroční index);108.4798878559
Česko;říjen 2024;Pohyb zboží z ČR (v mil. Kč, FOB);565790.097476
Česko;říjen 2024;Pohyb zboží do ČR (v mil. Kč, CIF);512336.353057
Česko;říjen 2024;Bilance - pohyb zboží (v mil. Kč);53453.744419
Česko;říjen 2024;Pohyb zboží z ČR (meziroční index );106.7121439629
Česko;říjen 2024;Pohyb zboží do ČR (meziroční index);107.0285362025
Česko;září 2024;Pohyb zboží z ČR (v mil. Kč, FOB);524259.943108
Česko;září 2024;Pohyb zboží do ČR (v mil. Kč, CIF);455791.347731
Česko;září 2024;Bilance - pohyb zboží (v mil. Kč);68468.595377
Česko;září 2024;Pohyb zboží z ČR (meziroční index );108.998172522
Česko;září 2024;Pohyb zboží do ČR (meziroční index);106.5106239986
Česko;srpen 2024;Pohyb zboží z ČR (v mil. Kč, FOB);474239.875306
Česko;srpen 2024;Pohyb zboží do ČR (v mil. Kč, CIF);423247.423269
Česko;srpen 2024;Bilance - pohyb zboží (v mil. Kč);50992.452037
Česko;srpen 2024;Pohyb zboží z ČR (meziroční index );109.7835329557
Česko;srpen 2024;Pohyb zboží do ČR (meziroční index);104.7864543071
Česko;červenec 2024;Pohyb zboží z ČR (v mil. Kč, FOB);475150.811756
