Ukazatel;Území;Měsíce;Komodity SITC;value
Dovoz (v mil. Kč, CIF);Česko;březen 2025;0 Potraviny a živá zvířata;24992.348689
Dovoz (v mil. Kč, CIF);Česko;březen 2025;1 Nápoje a tabák;3824.798067
Dovoz (v mil. Kč, CIF);Česko;březen 2025;2 Suroviny nepoživatelné, s výjimkou paliv;8091.970907
Dovoz (v mil. Kč, CIF);Česko;březen 2025;3 Minerální paliva, maziva a příbuzné materiály;22594.190569
Dovoz (v mil. Kč, CIF);Česko;březen 2025;4 Živočišné a rostlinné oleje, tuky a vosky;1051.268247
Dovoz (v mil. Kč, CIF);Česko;březen 2025;5 Chemikálie a příbuzné výrobky, j. n.;47761.902829
Dovoz (v mil. Kč, CIF);Česko;březen 2025;6 Tržní výrobky tříděné hlavně podle materiálu;63117.09147
Dovoz (v mil. Kč, CIF);Česko;březen 2025;7 Stroje a dopravní prostředky;174239.333996
Dovoz (v mil. Kč, CIF);Česko;březen 2025;8 Průmyslové spotřební zboží;50222.295802
Dovoz (v mil. Kč, CIF);Česko;březen 2025;9 Komodity a předměty obchodu, j. n.;1306.544882
Dovoz (v mil. Kč, CIF);Česko;únor 2025;0 Potraviny a živá zvířata;23631.670952
Dovoz (v mil. Kč, CIF);Česko;únor 2025;1 Nápoje a tabák;3159.405791
Dovoz (v mil. Kč, CIF);Česko;únor 2025;2 Suroviny nepoživatelné, s výjimkou paliv;7587.402027
Dovoz (v mil. Kč, CIF);Česko;únor 2025;3 Minerální paliva, maziva a příbuzné materiály;24870.072956
Dovoz (v mil. Kč, CIF);Česko;únor 2025;4 Živočišné a rostlinné oleje, tuky a vosky;1029.887389
Dovoz (v mil. Kč, CIF);Česko;únor 2025;5 Chemikálie a příbuzné výrobky, j. n.;43962.4156
Dovoz (v mil. Kč, CIF);Česko;únor 2025;6 Tržní výrobky tříděné hlavně podle materiálu;59697.190682
Dovoz (v mil. Kč, CIF);Česko;únor 2025;7 Stroje a dopravní prostředky;153307.749028
Dovoz (v mil. Kč, CIF);Česko;únor 2025;8 Průmyslové spotřební zboží;45486.533147
Dovoz (v mil. Kč, CIF);Česko;únor 2025;9 Komodity a předměty obchodu, j. n.;1302.485821
Dovoz (v mil. Kč, CIF);Česko;leden 2025;0 Potraviny a živá zvířata;25243.447969
Dovoz (v mil. Kč, CIF);Česko;leden 2025;1 Nápoje a tabák;3250.723692
Dovoz (v mil. Kč, CIF);Česko;leden 2025;2 Suroviny nepoživatelné, s výjimkou paliv;7465.963736
Dovoz (v mil. Kč, CIF);Česko;leden 2025;3 Minerální paliva, maziva a příbuzné materiály;26937.802413
Dovoz (v mil. Kč, CIF);Česko;leden 2025;4 Živočišné a rostlinné oleje, tuky a vosky;1057.423254
Dovoz (v mil. Kč, CIF);Česko;leden 2025;5 Chemikálie a příbuzné výrobky, j. n.;45944.940387
Dovoz (v mil. Kč, CIF);Česko;leden 2025;6 Tržní výrobky tříděné hlavně podle materiálu;58944.386821
Dovoz (v mil. Kč, CIF);Česko;leden 2025;7 Stroje a dopravní prostředky;159168.904457
Dovoz (v mil. Kč, CIF);Česko;leden 2025;8 Průmyslové spotřební zboží;47207.358807
Dovoz (v mil. Kč, CIF);Česko;leden 2025;9 Komodity a předměty obchodu, j. n.;1523.412759
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;0 Potraviny a živá zvířata;23707.898946
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;1 Nápoje a tabák;3733.586529
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;2 Suroviny nepoživatelné, s výjimkou paliv;6164.314263
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;3 Minerální paliva, maziva a příbuzné materiály;24033.955645
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;4 Živočišné a rostlinné oleje, tuky a vosky;879.651477
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;5 Chemikálie a příbuzné výrobky, j. n.;37165.963586
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;6 Tržní výrobky tříděné hlavně podle materiálu;45846.366183
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;7 Stroje a dopravní prostředky;136474.629285
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;8 Průmyslové spotřební zboží;46894.879383
Dovoz (v mil. Kč, CIF);Česko;prosinec 2024;9 Komodity a předměty obchodu, j. n.;1196.294955
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;0 Potraviny a živá zvířata;25423.376678
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;1 Nápoje a tabák;4232.968785
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7706.664402
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;3 Minerální paliva, maziva a příbuzné materiály;25781.754012
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1104.419315
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;5 Chemikálie a příbuzné výrobky, j. n.;45655.45103
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;6 Tržní výrobky tříděné hlavně podle materiálu;61823.535263
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;7 Stroje a dopravní prostředky;174033.213512
Dovoz (v mil. Kč, CIF);Česko;listopad 2024;8 Průmyslové spotřební zboží;51959.765768
