Ukazatel,Území,Měsíce,Země,value
Bilance (v mil. Kč),Česko,srpen 2025,Celkem,5613.921215
Bilance (v mil. Kč),Česko,srpen 2025,EU27_2020,64688.604411
Bilance (v mil. Kč),Česko,srpen 2025,Svět bez EU27_2020,-54487.354949
Bilance (v mil. Kč),Česko,červenec 2025,Celkem,-626.902077
Bilance (v mil. Kč),Česko,červenec 2025,EU27_2020,57801.145589
Bilance (v mil. Kč),Česko,červenec 2025,Svět bez EU27_2020,-52538.864567
Bilance (v mil. Kč),Česko,červen 2025,Celkem,28391.480762
Bilance (v mil. Kč),Česko,červen 2025,EU27_2020,79222.62279
Bilance (v mil. Kč),Česko,červen 2025,Svět bez EU27_2020,-45653.462483
Bilance (v mil. Kč),Česko,květen 2025,Celkem,12342.937554
Bilance (v mil. Kč),Česko,květen 2025,EU27_2020,72688.227445
Bilance (v mil. Kč),Česko,květen 2025,Svět bez EU27_2020,-54990.556071
Bilance (v mil. Kč),Česko,duben 2025,Celkem,19286.024585
Bilance (v mil. Kč),Česko,duben 2025,EU27_2020,77654.003596
Bilance (v mil. Kč),Česko,duben 2025,Svět bez EU27_2020,-52439.654414
Bilance (v mil. Kč),Česko,březen 2025,Celkem,28193.577377
Bilance (v mil. Kč),Česko,březen 2025,EU27_2020,83707.550665
Bilance (v mil. Kč),Česko,březen 2025,Svět bez EU27_2020,-50224.339312
Bilance (v mil. Kč),Česko,únor 2025,Celkem,30904.223781
Bilance (v mil. Kč),Česko,únor 2025,EU27_2020,74478.369274
Bilance (v mil. Kč),Česko,únor 2025,Svět bez EU27_2020,-40281.369445
Bilance (v mil. Kč),Česko,leden 2025,Celkem,18392.593251
Bilance (v mil. Kč),Česko,leden 2025,EU27_2020,80359.776413
Bilance (v mil. Kč),Česko,leden 2025,Svět bez EU27_2020,-57861.087635
Bilance (v mil. Kč),Česko,prosinec 2024,Celkem,7759.92348
Bilance (v mil. Kč),Česko,prosinec 2024,EU27_2020,49245.875397
Bilance (v mil. Kč),Česko,prosinec 2024,Svět bez EU27_2020,-38685.698093
Bilance (v mil. Kč),Česko,listopad 2024,Celkem,21197.546489
Bilance (v mil. Kč),Česko,listopad 2024,EU27_2020,82672.806982
Bilance (v mil. Kč),Česko,listopad 2024,Svět bez EU27_2020,-58361.442879
Bilance (v mil. Kč),Česko,říjen 2024,Celkem,10966.805546
Bilance (v mil. Kč),Česko,říjen 2024,EU27_2020,74281.11473
Bilance (v mil. Kč),Česko,říjen 2024,Svět bez EU27_2020,-60573.946287
Bilance (v mil. Kč),Česko,září 2024,Celkem,23237.826596
Bilance (v mil. Kč),Česko,září 2024,EU27_2020,72268.557947
Bilance (v mil. Kč),Česko,září 2024,Svět bez EU27_2020,-46772.429432
Bilance (v mil. Kč),Česko,srpen 2024,Celkem,11256.090688
Bilance (v mil. Kč),Česko,srpen 2024,EU27_2020,60401.371132
Bilance (v mil. Kč),Česko,srpen 2024,Svět bez EU27_2020,-46992.736674
Bilance (v mil. Kč),Česko,červenec 2024,Celkem,-7200.718678
Bilance (v mil. Kč),Česko,červenec 2024,EU27_2020,55159.090731
Bilance (v mil. Kč),Česko,červenec 2024,Svět bez EU27_2020,-59891.691263
Bilance (v mil. Kč),Česko,červen 2024,Celkem,31138.0412
Bilance (v mil. Kč),Česko,červen 2024,EU27_2020,76539.880533
Bilance (v mil. Kč),Česko,červen 2024,Svět bez EU27_2020,-43038.864712
Bilance (v mil. Kč),Česko,květen 2024,Celkem,10548.514413
Bilance (v mil. Kč),Česko,květen 2024,EU27_2020,68993.565587
Bilance (v mil. Kč),Česko,květen 2024,Svět bez EU27_2020,-55911.225554
Bilance (v mil. Kč),Česko,duben 2024,Celkem,29301.985405
Bilance (v mil. Kč),Česko,duben 2024,EU27_2020,81702.506772
Bilance (v mil. Kč),Česko,duben 2024,Svět bez EU27_2020,-49803.565969
Bilance (v mil. Kč),Česko,březen 2024,Celkem,40024.216645
Bilance (v mil. Kč),Česko,březen 2024,EU27_2020,78050.296473
Bilance (v mil. Kč),Česko,březen 2024,Svět bez EU27_2020,-34300.16369
Bilance (v mil. Kč),Česko,únor 2024,Celkem,35003.63346
Bilance (v mil. Kč),Česko,únor 2024,EU27_2020,76898.90637
Bilance (v mil. Kč),Česko,únor 2024,Svět bez EU27_2020,-36716.610075
Bilance (v mil. Kč),Česko,leden 2024,Celkem,7255.067734
Bilance (v mil. Kč),Česko,leden 2024,EU27_2020,81643.306966
Bilance (v mil. Kč),Česko,leden 2024,Svět bez EU27_2020,-71846.670819
Bilance (v mil. Kč),Česko,prosinec 2023,Celkem,4624.861449
Bilance (v mil. Kč),Česko,prosinec 2023,EU27_2020,54060.553141
Bilance (v mil. Kč),Česko,prosinec 2023,Svět bez EU27_2020,-47007.312163
Bilance (v mil. Kč),Česko,listopad 2023,Celkem,27766.127999
Bilance (v mil. Kč),Česko,listopad 2023,EU27_2020,87439.951817
Bilance (v mil. Kč),Česko,listopad 2023,Svět bez EU27_2020,-56647.169196
Bilance (v mil. Kč),Česko,říjen 2023,Celkem,14269.05961
Bilance (v mil. Kč),Česko,říjen 2023,EU27_2020,85627.423009
Bilance (v mil. Kč),Česko,říjen 2023,Svět bez EU27_2020,-68423.572562
Bilance (v mil. Kč),Česko,září 2023,Celkem,11451.144763
Bilance (v mil. Kč),Česko,září 2023,EU27_2020,72233.176062
Bilance (v mil. Kč),Česko,září 2023,Svět bez EU27_2020,-58287.030592
Bilance (v mil. Kč),Česko,srpen 2023,Celkem,-6462.959905
