Území;Čtvrtletí;Ukazatel;value
Česko;1. čtvrtletí 2025;Vývoz (v mil. Kč, FOB);1224379.434688
Česko;1. čtvrtletí 2025;Dovoz (v mil. Kč, CIF);1137980.923146
Česko;1. čtvrtletí 2025;Bilance (v mil. Kč);86398.511542
Česko;1. čtvrtletí 2025;Vývoz (meziroční index);106.185106227
Česko;1. čtvrtletí 2025;Dovoz (meziroční index);106.3511581395
Česko;4. čtvrtletí 2024;Vývoz (v mil. Kč, FOB);1185167.378126
Česko;4. čtvrtletí 2024;Dovoz (v mil. Kč, CIF);1141357.482022
Česko;4. čtvrtletí 2024;Bilance (v mil. Kč);43809.896104
Česko;4. čtvrtletí 2024;Vývoz (meziroční index);104.6116592705
Česko;4. čtvrtletí 2024;Dovoz (meziroční index);105.0721338712
Česko;3. čtvrtletí 2024;Vývoz (v mil. Kč, FOB);1126194.001322
Česko;3. čtvrtletí 2024;Dovoz (v mil. Kč, CIF);1098133.153063
Česko;3. čtvrtletí 2024;Bilance (v mil. Kč);28060.848259
Česko;3. čtvrtletí 2024;Vývoz (meziroční index);110.4182001271
Česko;3. čtvrtletí 2024;Dovoz (meziroční index);107.5379561157
Česko;2. čtvrtletí 2024;Vývoz (v mil. Kč, FOB);1182524.43531
Česko;2. čtvrtletí 2024;Dovoz (v mil. Kč, CIF);1110735.873713
Česko;2. čtvrtletí 2024;Bilance (v mil. Kč);71788.561597
Česko;2. čtvrtletí 2024;Vývoz (meziroční index);104.3557410849
Česko;2. čtvrtletí 2024;Dovoz (meziroční index);101.2534421652
Česko;1. čtvrtletí 2024;Vývoz (v mil. Kč, FOB);1153061.364435
Česko;1. čtvrtletí 2024;Dovoz (v mil. Kč, CIF);1070022.125808
Česko;1. čtvrtletí 2024;Bilance (v mil. Kč);83039.238627
Česko;1. čtvrtletí 2024;Vývoz (meziroční index);99.7095202731
Česko;1. čtvrtletí 2024;Dovoz (meziroční index);95.9200536505
Česko;4. čtvrtletí 2023;Vývoz (v mil. Kč, FOB);1132920.925249
Česko;4. čtvrtletí 2023;Dovoz (v mil. Kč, CIF);1086260.876191
Česko;4. čtvrtletí 2023;Bilance (v mil. Kč);46660.049058
Česko;4. čtvrtletí 2023;Vývoz (meziroční index);98.8495792691
Česko;4. čtvrtletí 2023;Dovoz (meziroční index);90.4655428728
Česko;3. čtvrtletí 2023;Vývoz (v mil. Kč, FOB);1019935.119415
Česko;3. čtvrtletí 2023;Dovoz (v mil. Kč, CIF);1021158.661302
Česko;3. čtvrtletí 2023;Bilance (v mil. Kč);-1223.541887
Česko;3. čtvrtletí 2023;Vývoz (meziroční index);93.273537921
Česko;3. čtvrtletí 2023;Dovoz (meziroční index);88.1980246315
Česko;2. čtvrtletí 2023;Vývoz (v mil. Kč, FOB);1133166.630811
Česko;2. čtvrtletí 2023;Dovoz (v mil. Kč, CIF);1096985.791259
Česko;2. čtvrtletí 2023;Bilance (v mil. Kč);36180.839552
Česko;2. čtvrtletí 2023;Vývoz (meziroční index);100.9053410104
Česko;2. čtvrtletí 2023;Dovoz (meziroční index);91.7039791593
Česko;1. čtvrtletí 2023;Vývoz (v mil. Kč, FOB);1156420.531637
Česko;1. čtvrtletí 2023;Dovoz (v mil. Kč, CIF);1115535.370431
Česko;1. čtvrtletí 2023;Bilance (v mil. Kč);40885.161206
Česko;1. čtvrtletí 2023;Vývoz (meziroční index);110.691327997
Česko;1. čtvrtletí 2023;Dovoz (meziroční index);105.5018043467
Česko;4. čtvrtletí 2022;Vývoz (v mil. Kč, FOB);1146105.965878
Česko;4. čtvrtletí 2022;Dovoz (v mil. Kč, CIF);1200745.434887
Česko;4. čtvrtletí 2022;Bilance (v mil. Kč);-54639.469009
Česko;4. čtvrtletí 2022;Vývoz (meziroční index);113.2349800396
Česko;4. čtvrtletí 2022;Dovoz (meziroční index);115.2991180633
Česko;3. čtvrtletí 2022;Vývoz (v mil. Kč, FOB);1093488.187699
Česko;3. čtvrtletí 2022;Dovoz (v mil. Kč, CIF);1157802.19066
Česko;3. čtvrtletí 2022;Bilance (v mil. Kč);-64314.002961
Česko;3. čtvrtletí 2022;Vývoz (meziroční index);122.4708799174
Česko;3. čtvrtletí 2022;Dovoz (meziroční index);122.1882671808
Česko;2. čtvrtletí 2022;Vývoz (v mil. Kč, FOB);1122999.654393
Česko;2. čtvrtletí 2022;Dovoz (v mil. Kč, CIF);1196224.854489
Česko;2. čtvrtletí 2022;Bilance (v mil. Kč);-73225.200096
Česko;2. čtvrtletí 2022;Vývoz (meziroční index);111.2871639683
Česko;2. čtvrtletí 2022;Dovoz (meziroční index);120.193090002
Česko;1. čtvrtletí 2022;Vývoz (v mil. Kč, FOB);1044725.501593
Česko;1. čtvrtletí 2022;Dovoz (v mil. Kč, CIF);1057361.414185
Česko;1. čtvrtletí 2022;Bilance (v mil. Kč);-12635.912592
Česko;1. čtvrtletí 2022;Vývoz (meziroční index);108.0064988442
Česko;1. čtvrtletí 2022;Dovoz (meziroční index);116.6597651109
Česko;4. čtvrtletí 2021;Vývoz (v mil. Kč, FOB);1012148.33568
Česko;4. čtvrtletí 2021;Dovoz (v mil. Kč, CIF);1041417.709915
Česko;4. čtvrtletí 2021;Bilance (v mil. Kč);-29269.374235
Česko;4. čtvrtletí 2021;Vývoz (meziroční index);102.7491985255
Česko;4. čtvrtletí 2021;Dovoz (meziroční index);114.9230303008
Česko;3. čtvrtletí 2021;Vývoz (v mil. Kč, FOB);892855.663678
Česko;3. čtvrtletí 2021;Dovoz (v mil. Kč, CIF);947555.945733
Česko;3. čtvrtletí 2021;Bilance (v mil. Kč);-54700.282055
Česko;3. čtvrtletí 2021;Vývoz (meziroční index);103.4515742189
Česko;3. čtvrtletí 2021;Dovoz (meziroční index);117.3037939611
Česko;2. čtvrtletí 2021;Vývoz (v mil. Kč, FOB);1009100.793253
Česko;2. čtvrtletí 2021;Dovoz (v mil. Kč, CIF);995252.601018
Česko;2. čtvrtletí 2021;Bilance (v mil. Kč);13848.192235
Česko;2. čtvrtletí 2021;Vývoz (meziroční index);141.9810949561
Česko;2. čtvrtletí 2021;Dovoz (meziroční index);141.8874993166
Česko;1. čtvrtletí 2021;Vývoz (v mil. Kč, FOB);967280.221813
Česko;1. čtvrtletí 2021;Dovoz (v mil. Kč, CIF);906363.400595
Česko;1. čtvrtletí 2021;Bilance (v mil. Kč);60916.821218
Česko;1. čtvrtletí 2021;Vývoz (meziroční index);110.9623133044
