Území,Ukazatel,Druh stavby,Roky,value
Česko,Počet stavebních povolení v ČR,Celkem,2015,80478.0
Česko,Počet stavebních povolení v ČR,Celkem,2016,83340.0
Česko,Počet stavebních povolení v ČR,Celkem,2017,84164.0
Česko,Počet stavebních povolení v ČR,Celkem,2018,81174.0
Česko,Počet stavebních povolení v ČR,Celkem,2019,86283.0
Česko,Počet stavebních povolení v ČR,Celkem,2020,85988.0
Česko,Počet stavebních povolení v ČR,Celkem,2021,90962.0
Česko,Počet stavebních povolení v ČR,Celkem,2022,86049.0
Česko,Počet stavebních povolení v ČR,Celkem,2023,77398.0
Česko,Počet stavebních povolení v ČR,Celkem,2024,72066.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2015,28886.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2016,31002.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2017,32069.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2018,30702.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2019,31606.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2020,31747.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2021,33995.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2022,31969.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2023,26014.0
Česko,Počet stavebních povolení v ČR,Bytové budovy ,2024,24260.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2015,16789.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2016,18229.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2017,17781.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2018,16413.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2019,16404.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2020,17088.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2021,18606.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2022,17115.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2023,17856.0
Česko,Počet stavebních povolení v ČR,Nebytové budovy ,2024,17858.0
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2015,
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2016,
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2017,
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2018,
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2019,
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2020,37153.0
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2021,38361.0
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2022,36965.0
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2023,33528.0
Česko,Počet stavebních povolení v ČR,Inženýrské stavby,2024,29948.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2015,254891.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2016,284307.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2017,352939.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2018,358058.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2019,414320.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2020,389752.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2021,521373.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2022,515091.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2023,601666.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Celkem,2024,580378.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2015,81568.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2016,85951.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2017,102795.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2018,102719.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2019,129912.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2020,129498.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2021,172919.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2022,186179.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2023,174962.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Bytové budovy ,2024,183457.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2015,78655.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2016,109579.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2017,129232.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2018,121900.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2019,128930.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2020,122341.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2021,149678.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2022,156000.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2023,196330.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Nebytové budovy ,2024,188325.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2015,
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2016,
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2017,
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2018,
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2019,
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2020,137913.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2021,198776.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2022,172912.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2023,230374.0
Česko,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",Inženýrské stavby,2024,208596.0
