Roky,Území,Ukazatel,value
2023,Hlavní město Praha,Zahájené byty,5720
2023,Hlavní město Praha,Zahájené byty v nových rodinných domech,519
2023,Hlavní město Praha,Zahájené byty v nových bytových domech,4242
2023,Hlavní město Praha,Zahájené byty v nových nebytových budovách,134
2023,Hlavní město Praha,Dokončené byty,6410
2023,Hlavní město Praha,Dokončené byty v nových rodinných domech,591
2023,Hlavní město Praha,Dokončené byty v nových bytových domech,5456
2023,Hlavní město Praha,Dokončené byty v nových nebytových budovách,12
2023,Středočeský kraj,Zahájené byty,6045
2023,Středočeský kraj,Zahájené byty v nových rodinných domech,3132
2023,Středočeský kraj,Zahájené byty v nových bytových domech,1997
2023,Středočeský kraj,Zahájené byty v nových nebytových budovách,230
2023,Středočeský kraj,Dokončené byty,6634
2023,Středočeský kraj,Dokončené byty v nových rodinných domech,4531
2023,Středočeský kraj,Dokončené byty v nových bytových domech,1611
2023,Středočeský kraj,Dokončené byty v nových nebytových budovách,78
2023,Jihočeský kraj,Zahájené byty,2017
2023,Jihočeský kraj,Zahájené byty v nových rodinných domech,964
2023,Jihočeský kraj,Zahájené byty v nových bytových domech,600
2023,Jihočeský kraj,Zahájené byty v nových nebytových budovách,140
2023,Jihočeský kraj,Dokončené byty,2364
2023,Jihočeský kraj,Dokončené byty v nových rodinných domech,1421
2023,Jihočeský kraj,Dokončené byty v nových bytových domech,706
2023,Jihočeský kraj,Dokončené byty v nových nebytových budovách,48
2023,Plzeňský kraj,Zahájené byty,1935
2023,Plzeňský kraj,Zahájené byty v nových rodinných domech,1023
2023,Plzeňský kraj,Zahájené byty v nových bytových domech,582
2023,Plzeňský kraj,Zahájené byty v nových nebytových budovách,147
2023,Plzeňský kraj,Dokončené byty,2449
2023,Plzeňský kraj,Dokončené byty v nových rodinných domech,1289
2023,Plzeňský kraj,Dokončené byty v nových bytových domech,985
2023,Plzeňský kraj,Dokončené byty v nových nebytových budovách,33
2023,Karlovarský kraj,Zahájené byty,950
2023,Karlovarský kraj,Zahájené byty v nových rodinných domech,283
2023,Karlovarský kraj,Zahájené byty v nových bytových domech,402
2023,Karlovarský kraj,Zahájené byty v nových nebytových budovách,34
2023,Karlovarský kraj,Dokončené byty,771
2023,Karlovarský kraj,Dokončené byty v nových rodinných domech,332
2023,Karlovarský kraj,Dokončené byty v nových bytových domech,278
2023,Karlovarský kraj,Dokončené byty v nových nebytových budovách,9
2023,Ústecký kraj,Zahájené byty,1518
2023,Ústecký kraj,Zahájené byty v nových rodinných domech,715
2023,Ústecký kraj,Zahájené byty v nových bytových domech,149
2023,Ústecký kraj,Zahájené byty v nových nebytových budovách,79
2023,Ústecký kraj,Dokončené byty,1272
2023,Ústecký kraj,Dokončené byty v nových rodinných domech,967
2023,Ústecký kraj,Dokončené byty v nových bytových domech,64
2023,Ústecký kraj,Dokončené byty v nových nebytových budovách,16
2023,Liberecký kraj,Zahájené byty,1217
2023,Liberecký kraj,Zahájené byty v nových rodinných domech,595
2023,Liberecký kraj,Zahájené byty v nových bytových domech,347
2023,Liberecký kraj,Zahájené byty v nových nebytových budovách,130
2023,Liberecký kraj,Dokončené byty,1186
2023,Liberecký kraj,Dokončené byty v nových rodinných domech,637
2023,Liberecký kraj,Dokončené byty v nových bytových domech,315
2023,Liberecký kraj,Dokončené byty v nových nebytových budovách,12
2023,Královéhradecký kraj,Zahájené byty,1549
2023,Královéhradecký kraj,Zahájené byty v nových rodinných domech,750
2023,Královéhradecký kraj,Zahájené byty v nových bytových domech,439
2023,Královéhradecký kraj,Zahájené byty v nových nebytových budovách,59
2023,Královéhradecký kraj,Dokončené byty,1657
2023,Královéhradecký kraj,Dokončené byty v nových rodinných domech,930
2023,Královéhradecký kraj,Dokončené byty v nových bytových domech,480
2023,Královéhradecký kraj,Dokončené byty v nových nebytových budovách,12
2023,Pardubický kraj,Zahájené byty,1888
2023,Pardubický kraj,Zahájené byty v nových rodinných domech,820
2023,Pardubický kraj,Zahájené byty v nových bytových domech,821
2023,Pardubický kraj,Zahájené byty v nových nebytových budovách,73
2023,Pardubický kraj,Dokončené byty,1940
2023,Pardubický kraj,Dokončené byty v nových rodinných domech,1084
2023,Pardubický kraj,Dokončené byty v nových bytových domech,566
2023,Pardubický kraj,Dokončené byty v nových nebytových budovách,18
2023,Kraj Vysočina,Zahájené byty,1383
2023,Kraj Vysočina,Zahájené byty v nových rodinných domech,737
2023,Kraj Vysočina,Zahájené byty v nových bytových domech,281
2023,Kraj Vysočina,Zahájené byty v nových nebytových budovách,78
2023,Kraj Vysočina,Dokončené byty,1695
2023,Kraj Vysočina,Dokončené byty v nových rodinných domech,1000
2023,Kraj Vysočina,Dokončené byty v nových bytových domech,366
2023,Kraj Vysočina,Dokončené byty v nových nebytových budovách,47
2023,Jihomoravský kraj,Zahájené byty,5784
2023,Jihomoravský kraj,Zahájené byty v nových rodinných domech,1888
2023,Jihomoravský kraj,Zahájené byty v nových bytových domech,2660
2023,Jihomoravský kraj,Zahájené byty v nových nebytových budovách,409
2023,Jihomoravský kraj,Dokončené byty,5294
2023,Jihomoravský kraj,Dokončené byty v nových rodinných domech,2312
2023,Jihomoravský kraj,Dokončené byty v nových bytových domech,1952
2023,Jihomoravský kraj,Dokončené byty v nových nebytových budovách,323
2023,Olomoucký kraj,Zahájené byty,1479
2023,Olomoucký kraj,Zahájené byty v nových rodinných domech,721
2023,Olomoucký kraj,Zahájené byty v nových bytových domech,384
2023,Olomoucký kraj,Zahájené byty v nových nebytových budovách,70
2023,Olomoucký kraj,Dokončené byty,2020
2023,Olomoucký kraj,Dokončené byty v nových rodinných domech,1080
2023,Olomoucký kraj,Dokončené byty v nových bytových domech,583
2023,Olomoucký kraj,Dokončené byty v nových nebytových budovách,23
2023,Zlínský kraj,Zahájené byty,1312
2023,Zlínský kraj,Zahájené byty v nových rodinných domech,883
2023,Zlínský kraj,Zahájené byty v nových bytových domech,259
2023,Zlínský kraj,Zahájené byty v nových nebytových budovách,73
2023,Zlínský kraj,Dokončené byty,1684
2023,Zlínský kraj,Dokončené byty v nových rodinných domech,983
2023,Zlínský kraj,Dokončené byty v nových bytových domech,580
2023,Zlínský kraj,Dokončené byty v nových nebytových budovách,38
2023,Moravskoslezský kraj,Zahájené byty,2907
2023,Moravskoslezský kraj,Zahájené byty v nových rodinných domech,1526
2023,Moravskoslezský kraj,Zahájené byty v nových bytových domech,405
2023,Moravskoslezský kraj,Zahájené byty v nových nebytových budovách,261
2023,Moravskoslezský kraj,Dokončené byty,2689
2023,Moravskoslezský kraj,Dokončené byty v nových rodinných domech,1806
2023,Moravskoslezský kraj,Dokončené byty v nových bytových domech,266
2023,Moravskoslezský kraj,Dokončené byty v nových nebytových budovách,71
