Území;Měsíce;Ukazatel;value
Česko;březen 2025;Meziroční index stavební produkce - růst/pokles (%);12.1019903047
Česko;únor 2025;Meziroční index stavební produkce - růst/pokles (%);0.8806268388
Česko;leden 2025;Meziroční index stavební produkce - růst/pokles (%);8.2347373466
Česko;prosinec 2024;Meziroční index stavební produkce - růst/pokles (%);10.845993768
Česko;listopad 2024;Meziroční index stavební produkce - růst/pokles (%);2.4508535033
Česko;říjen 2024;Meziroční index stavební produkce - růst/pokles (%);-2.3236431871
Česko;září 2024;Meziroční index stavební produkce - růst/pokles (%);-6.4664132717
Česko;srpen 2024;Meziroční index stavební produkce - růst/pokles (%);0.302372821
Česko;červenec 2024;Meziroční index stavební produkce - růst/pokles (%);1.7099135426
Česko;červen 2024;Meziroční index stavební produkce - růst/pokles (%);-7.4013211433
Česko;květen 2024;Meziroční index stavební produkce - růst/pokles (%);-6.3170394607
Česko;duben 2024;Meziroční index stavební produkce - růst/pokles (%);0.7361880503
Česko;březen 2024;Meziroční index stavební produkce - růst/pokles (%);-6.6293579275
Česko;únor 2024;Meziroční index stavební produkce - růst/pokles (%);1.8348086922
Česko;leden 2024;Meziroční index stavební produkce - růst/pokles (%);-6.4836357639
Česko;prosinec 2023;Meziroční index stavební produkce - růst/pokles (%);-3.1570698638
Česko;listopad 2023;Meziroční index stavební produkce - růst/pokles (%);-5.0860704604
Česko;říjen 2023;Meziroční index stavební produkce - růst/pokles (%);-0.4492834592
Česko;září 2023;Meziroční index stavební produkce - růst/pokles (%);0.4048911226
Česko;srpen 2023;Meziroční index stavební produkce - růst/pokles (%);-2.0211017312
Česko;červenec 2023;Meziroční index stavební produkce - růst/pokles (%);-0.0745947524
Česko;červen 2023;Meziroční index stavební produkce - růst/pokles (%);-0.4756166132
Česko;květen 2023;Meziroční index stavební produkce - růst/pokles (%);-4.5032444296
Česko;duben 2023;Meziroční index stavební produkce - růst/pokles (%);-7.9420495485
Česko;březen 2023;Meziroční index stavební produkce - růst/pokles (%);-3.1973582491
Česko;únor 2023;Meziroční index stavební produkce - růst/pokles (%);-4.08640775
Česko;leden 2023;Meziroční index stavební produkce - růst/pokles (%);3.375853431
Česko;prosinec 2022;Meziroční index stavební produkce - růst/pokles (%);-1.4807100719
Česko;listopad 2022;Meziroční index stavební produkce - růst/pokles (%);-1.1233962141
Česko;říjen 2022;Meziroční index stavební produkce - růst/pokles (%);2.4508372207
Česko;září 2022;Meziroční index stavební produkce - růst/pokles (%);-1.4439710769
Česko;srpen 2022;Meziroční index stavební produkce - růst/pokles (%);1.1660775782
Česko;červenec 2022;Meziroční index stavební produkce - růst/pokles (%);0.0530430755
Česko;červen 2022;Meziroční index stavební produkce - růst/pokles (%);3.5398423
Česko;květen 2022;Meziroční index stavební produkce - růst/pokles (%);3.6863410745
Česko;duben 2022;Meziroční index stavební produkce - růst/pokles (%);7.7641972356
Česko;březen 2022;Meziroční index stavební produkce - růst/pokles (%);14.6036237881
Česko;únor 2022;Meziroční index stavební produkce - růst/pokles (%);16.756003426
Česko;leden 2022;Meziroční index stavební produkce - růst/pokles (%);5.1373315815
Česko;prosinec 2021;Meziroční index stavební produkce - růst/pokles (%);8.1751236363
Česko;listopad 2021;Meziroční index stavební produkce - růst/pokles (%);3.7240064281
Česko;říjen 2021;Meziroční index stavební produkce - růst/pokles (%);1.8565240657
Česko;září 2021;Meziroční index stavební produkce - růst/pokles (%);2.8385724479
Česko;srpen 2021;Meziroční index stavební produkce - růst/pokles (%);3.8085341617
Česko;červenec 2021;Meziroční index stavební produkce - růst/pokles (%);3.1067420575
Česko;červen 2021;Meziroční index stavební produkce - růst/pokles (%);8.0702390666
Česko;květen 2021;Meziroční index stavební produkce - růst/pokles (%);4.2505669253
Česko;duben 2021;Meziroční index stavební produkce - růst/pokles (%);0.3348564637
Česko;březen 2021;Meziroční index stavební produkce - růst/pokles (%);-5.2706992856
Česko;únor 2021;Meziroční index stavební produkce - růst/pokles (%);-9.5019963114
Česko;leden 2021;Meziroční index stavební produkce - růst/pokles (%);-0.9105980357
Česko;prosinec 2020;Meziroční index stavební produkce - růst/pokles (%);-11.2953548328
Česko;listopad 2020;Meziroční index stavební produkce - růst/pokles (%);-6.0852583173
Česko;říjen 2020;Meziroční index stavební produkce - růst/pokles (%);-7.6630126318
Česko;září 2020;Meziroční index stavební produkce - růst/pokles (%);-9.4830386405
Česko;srpen 2020;Meziroční index stavební produkce - růst/pokles (%);-9.4774275862
Česko;červenec 2020;Meziroční index stavební produkce - růst/pokles (%);-12.3422184729
Česko;červen 2020;Meziroční index stavební produkce - růst/pokles (%);-12.4231317102
Česko;květen 2020;Meziroční index stavební produkce - růst/pokles (%);-6.6940625171
Česko;duben 2020;Meziroční index stavební produkce - růst/pokles (%);-2.3553790706
Česko;březen 2020;Meziroční index stavební produkce - růst/pokles (%);0.2508052326
Česko;únor 2020;Meziroční index stavební produkce - růst/pokles (%);1.819062596
Česko;leden 2020;Meziroční index stavební produkce - růst/pokles (%);4.7984554512
Česko;prosinec 2019;Meziroční index stavební produkce - růst/pokles (%);2.2896800065
Česko;listopad 2019;Meziroční index stavební produkce - růst/pokles (%);5.3049954032
Česko;říjen 2019;Meziroční index stavební produkce - růst/pokles (%);-0.0476229784
Česko;září 2019;Meziroční index stavební produkce - růst/pokles (%);-2.7325305256
Česko;srpen 2019;Meziroční index stavební produkce - růst/pokles (%);-2.14028406
Česko;červenec 2019;Meziroční index stavební produkce - růst/pokles (%);3.6432565495
Česko;červen 2019;Meziroční index stavební produkce - růst/pokles (%);4.030411421
Česko;květen 2019;Meziroční index stavební produkce - růst/pokles (%);1.9448794277
Česko;duben 2019;Meziroční index stavební produkce - růst/pokles (%);10.7971344905
Česko;březen 2019;Meziroční index stavební produkce - růst/pokles (%);12.9297265416
Česko;únor 2019;Meziroční index stavební produkce - růst/pokles (%);10.3528797096
Česko;leden 2019;Meziroční index stavební produkce - růst/pokles (%);-9.549931762
Česko;prosinec 2018;Meziroční index stavební produkce - růst/pokles (%);5.4907586933
Česko;listopad 2018;Meziroční index stavební produkce - růst/pokles (%);-0.2213418477
Česko;říjen 2018;Meziroční index stavební produkce - růst/pokles (%);8.4713440326
Česko;září 2018;Meziroční index stavební produkce - růst/pokles (%);14.8270041435
Česko;srpen 2018;Meziroční index stavební produkce - růst/pokles (%);10.7585905902
Česko;červenec 2018;Meziroční index stavební produkce - růst/pokles (%);12.9128471604
Česko;červen 2018;Meziroční index stavební produkce - růst/pokles (%);8.1412628287
Česko;květen 2018;Meziroční index stavební produkce - růst/pokles (%);9.1309120312
Česko;duben 2018;Meziroční index stavební produkce - růst/pokles (%);3.541133078
Česko;březen 2018;Meziroční index stavební produkce - růst/pokles (%);3.6311492719
Česko;únor 2018;Meziroční index stavební produkce - růst/pokles (%);13.7846425776
Česko;leden 2018;Meziroční index stavební produkce - růst/pokles (%);37.5956990445
Česko;prosinec 2017;Meziroční index stavební produkce - růst/pokles (%);1.8354016789
Česko;listopad 2017;Meziroční index stavební produkce - růst/pokles (%);4.6571364359
