Ukazatel;Území;Roky;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2023;431235.403
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2022;428616.72
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2021;354107.409
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2020;322563.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2019;312850.774
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2018;274680.326
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2017;244026.095
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2016;235727.938
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2015;268135.911
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2014;238262.277
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2013;219537.363
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2012;238212.217
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2011;254902.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2010;270225.906
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2009;307019.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2008;333354.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2007;322406.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2006;297603.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2005;274732.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2004;274070.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2003;246308.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2002;223118.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Česko;2001;211652.0
