Území;Náklady práce;Ukazatel;Roky;value
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2016;462481.248102937
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2017;493190.934790698
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2018;533241.034982009
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2019;576372.950252001
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2020;600046.984570891
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2021;633034.016732681
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2022;666652.4108747886
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Náklady práce celkem;2023;713414.1881813844
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2016;333474.05520359
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2017;355619.595783223
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2018;385164.48309308
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2019;415260.048555829
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2020;434158.656811951
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2021;459430.175309725
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2022;479276.4182375327
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady celkem;2023;513628.5720093306
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2016;298521.99902791
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2017;317749.158117665
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2018;343286.026655984
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2019;369569.450931657
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2020;379345.188735729
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2021;403874.669290077
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2022;425378.5680218999
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - mzdy za vykonanou práci;2023;455790.1519243921
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2016;34952.1832693773
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2017;37870.4376655579
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Přímé náklady - náhrady mzdy;2018;41878.4466334746
