Území;Ukazatel;Roky;value
Česko;Náklady práce celkem;2016;265.580536139
Česko;Náklady práce celkem;2017;287.2609715553
Česko;Náklady práce celkem;2018;311.8991330693
Česko;Náklady práce celkem;2019;338.3139298695
Česko;Náklady práce celkem;2020;372.2053390567
Česko;Náklady práce celkem;2021;385.2315384108
Česko;Náklady práce celkem;2022;397.7541189055
Česko;Náklady práce celkem;2023;424.9093848462
Česko;Přímé náklady celkem;2016;191.4979660963
Česko;Přímé náklady celkem;2017;207.1320119299
Česko;Přímé náklady celkem;2018;225.2873662843
Česko;Přímé náklady celkem;2019;243.745406309
Česko;Přímé náklady celkem;2020;269.3058614046
Česko;Přímé náklady celkem;2021;279.5852806464
Česko;Přímé náklady celkem;2022;285.9573689955
Česko;Přímé náklady celkem;2023;305.9171014362
Česko;Přímé náklady - mzdy za vykonanou práci;2016;171.4266964906
Česko;Přímé náklady - mzdy za vykonanou práci;2017;185.0742287274
Česko;Přímé náklady - mzdy za vykonanou práci;2018;200.7921504248
Česko;Přímé náklady - mzdy za vykonanou práci;2019;216.9263724984
Česko;Přímé náklady - mzdy za vykonanou práci;2020;235.3054147816
Česko;Přímé náklady - mzdy za vykonanou práci;2021;245.7770926416
Česko;Přímé náklady - mzdy za vykonanou práci;2022;253.7995434575
Česko;Přímé náklady - mzdy za vykonanou práci;2023;271.4685469977
Česko;Přímé náklady - náhrady mzdy;2016;20.0713425895
Česko;Přímé náklady - náhrady mzdy;2017;22.0577832025
Česko;Přímé náklady - náhrady mzdy;2018;24.4952101252
Česko;Přímé náklady - náhrady mzdy;2019;26.8190338106
Česko;Přímé náklady - náhrady mzdy;2020;34.0002732617
Česko;Přímé náklady - náhrady mzdy;2021;33.8081880048
Česko;Přímé náklady - náhrady mzdy;2022;32.157825538
Česko;Přímé náklady - náhrady mzdy;2023;34.4485544385
Česko;Nepřímé náklady - sociální požitky;2016;2.8197910921
Česko;Nepřímé náklady - sociální požitky;2017;3.0260030897
Česko;Nepřímé náklady - sociální požitky;2018;3.1715097065
Česko;Nepřímé náklady - sociální požitky;2019;3.5805046321
Česko;Nepřímé náklady - sociální požitky;2020;3.7319558168
Česko;Nepřímé náklady - sociální požitky;2021;4.3441934444
Česko;Nepřímé náklady - sociální požitky;2022;4.2837085271
Česko;Nepřímé náklady - sociální požitky;2023;4.8411244803
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2016;66.0324054591
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2017;71.3733332481
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2018;77.2617312305
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2019;83.4805264867
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2020;91.550944857
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2021;95.1940637163
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2022;97.8995991614
Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;2023;104.7126962139
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2016;2.9269716045
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2017;3.1160808588
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2018;3.4535689404
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2019;4.7245520838
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2020;6.2612376903
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2021;6.1800074983
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2022;6.2024703718
Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní ;2023;6.0689167618
Česko;Nepřímé náklady - personální náklady/výdaje;2016;2.9201395696
Česko;Nepřímé náklady - personální náklady/výdaje;2017;3.1674772764
Česko;Nepřímé náklady - personální náklady/výdaje;2018;3.281116541
Česko;Nepřímé náklady - personální náklady/výdaje;2019;3.3747227611
Česko;Nepřímé náklady - personální náklady/výdaje;2020;3.4456808519
Česko;Nepřímé náklady - personální náklady/výdaje;2021;3.7535789157
Česko;Nepřímé náklady - personální náklady/výdaje;2022;4.4296305765
Česko;Nepřímé náklady - personální náklady/výdaje;2023;4.0974419856
Česko;Nepřímé náklady - daně a dotace;2016;-0.6168106665
Česko;Nepřímé náklady - daně a dotace;2017;-0.5539348476
Česko;Nepřímé náklady - daně a dotace;2018;-0.5561538992
Česko;Nepřímé náklady - daně a dotace;2019;-0.5917824033
Česko;Nepřímé náklady - daně a dotace;2020;-2.0901682027
Česko;Nepřímé náklady - daně a dotace;2021;-3.8255858103
Česko;Nepřímé náklady - daně a dotace;2022;-1.0186587267
Česko;Nepřímé náklady - daně a dotace;2023;-0.7278960317
