Ukazatel,Území,Věkové skupiny,Roky,value
Nezaměstnaní (tis. osob),Česko,Celkem,1993,220.02375465
Nezaměstnaní (tis. osob),Česko,Celkem,1994,221.1697423
Nezaměstnaní (tis. osob),Česko,Celkem,1995,208.051274
Nezaměstnaní (tis. osob),Česko,Celkem,1996,201.46363995
Nezaměstnaní (tis. osob),Česko,Celkem,1997,248.310500525
Nezaměstnaní (tis. osob),Česko,Celkem,1998,335.727746925
Nezaměstnaní (tis. osob),Česko,Celkem,1999,454.109032975
Nezaměstnaní (tis. osob),Česko,Celkem,2000,454.511500388375
Nezaměstnaní (tis. osob),Česko,Celkem,2001,418.265697756425
Nezaměstnaní (tis. osob),Česko,Celkem,2002,374.14951899895
Nezaměstnaní (tis. osob),Česko,Celkem,2003,399.1471407683
Nezaměstnaní (tis. osob),Česko,Celkem,2004,425.877438953575
Nezaměstnaní (tis. osob),Česko,Celkem,2005,410.153888197275
Nezaměstnaní (tis. osob),Česko,Celkem,2006,371.2934272135
Nezaměstnaní (tis. osob),Česko,Celkem,2007,276.333556913325
Nezaměstnaní (tis. osob),Česko,Celkem,2008,229.832153592375
Nezaměstnaní (tis. osob),Česko,Celkem,2009,352.18969156655
Nezaměstnaní (tis. osob),Česko,Celkem,2010,383.650210007375
Nezaměstnaní (tis. osob),Česko,Celkem,2011,350.5641300975
Nezaměstnaní (tis. osob),Česko,Celkem,2012,366.8943346425
Nezaměstnaní (tis. osob),Česko,Celkem,2013,368.938638075
Nezaměstnaní (tis. osob),Česko,Celkem,2014,323.59031857
Nezaměstnaní (tis. osob),Česko,Celkem,2015,268.0473481525
Nezaměstnaní (tis. osob),Česko,Celkem,2016,211.4447892
Nezaměstnaní (tis. osob),Česko,Celkem,2017,155.53527835
Nezaměstnaní (tis. osob),Česko,Celkem,2018,121.622276775
Nezaměstnaní (tis. osob),Česko,Celkem,2019,109.073719475
Nezaměstnaní (tis. osob),Česko,Celkem,2020,137.01268515
Nezaměstnaní (tis. osob),Česko,Celkem,2021,150.486598675
Nezaměstnaní (tis. osob),Česko,Celkem,2022,117.640216525
Nezaměstnaní (tis. osob),Česko,Celkem,2023,134.00152846
Nezaměstnaní (tis. osob),Česko,Celkem,2024,138.77819279
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1993,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1994,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1995,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1996,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1997,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1998,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,1999,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2000,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2001,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2002,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2003,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2004,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2005,
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2006,78.8969554161
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2007,45.9493489136
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2008,41.3015638933
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2009,70.6
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2010,73.411724364175
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2011,66.777632655
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2012,72.742036965
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2013,68.7207718
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2014,56.44793249
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2015,43.661870715
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2016,34.622233575
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2017,25.149148875
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2018,19.979004775
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2019,16.104776475
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2020,20.917927425
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2021,21.533395225
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2022,18.455459725
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2023,24.376510831
Nezaměstnaní (tis. osob),Česko,15 až 24 let,2024,27.040357443
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1993,29.8579634
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1994,31.4446102
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1995,29.912196325
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1996,27.559633175
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1997,33.0043772
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1998,44.97460665
Nezaměstnaní (tis. osob),Česko,25 až 29 let,1999,62.137370975
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2000,63.61275206625
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2001,63.3263268958
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2002,56.387295983325
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2003,58.535542562725
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2004,63.7020190289
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2005,59.29892090665
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2006,43.9806400829
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2007,33.746762498375
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2008,25.573067975725
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2009,50.7203984045
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2010,56.61125167025
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2011,45.48152466
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2012,50.7289573475
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2013,46.8407389175
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2014,42.1858193425
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2015,37.5258647325
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2016,30.606811975
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2017,19.2172939
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2018,17.164436625
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2019,13.961007625
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2020,19.788145725
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2021,17.410464875
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2022,11.913550625
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2023,15.472385788
Nezaměstnaní (tis. osob),Česko,25 až 29 let,2024,15.746710372
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1993,25.008340975
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1994,26.814211075
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1995,23.015616025
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1996,22.72702855
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1997,31.18628425
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1998,40.50446515
Nezaměstnaní (tis. osob),Česko,30 až 34 let,1999,55.75643755
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2000,55.676261617975
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2001,48.54392797795
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2002,41.87361873475
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2003,48.11026818045
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2004,48.800106925
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2005,50.50767167615
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2006,52.08724495585
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2007,39.913519153275
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2008,35.841142858775
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2009,50.642677056875
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2010,45.9449186969
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2011,43.0369670775
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2012,43.40296992
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2013,47.4304202475
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2014,41.5333654575
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2015,35.69579447
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2016,26.386279775
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2017,17.451141575
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2018,14.241690525
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2019,14.936175925
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2020,20.785954575
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2021,18.657127675
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2022,11.450324625
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2023,17.25077552
Nezaměstnaní (tis. osob),Česko,30 až 34 let,2024,14.708838517
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1993,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1994,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1995,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1996,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1997,
