Území;Ukazatel;Roky;value
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1993;8292.68295790001
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1994;8354.61134045
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1995;8406.44119454998
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1996;8447.53317022499
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1997;8487.004423425
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1998;8523.22105035001
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);1999;8555.27852587501
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2000;8586.44026127639
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2001;8577.38600823037
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2002;8599.1364617841
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2003;8636.90123063648
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2004;8673.29148035229
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2005;8715.99048110848
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2006;8773.39373091939
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2007;8845.04848070887
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2008;8943.77148115283
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2009;9009.34898113662
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2010;9015.40248159348
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2011;8964.710999965
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2012;8964.59350043751
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2013;8951.46925199751
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2014;8932.591499735
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2015;8935.66200172499
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2016;8928.693204225
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2017;8929.154218175
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2018;8941.819402525
Česko;Obyvatelstvo ve věku 15 a více let (tis.osob);2019;8963.46591087499
