Roky,Území,Ukazatel,Druh chráněného území,value
2023,Česko,Počet chráněných území,Národní park,4.0
2023,Česko,Počet chráněných území,Chráněná krajinná oblast,26.0
2023,Česko,Počet chráněných území,Maloplošné chráněné území,2665.0
2023,Česko,Počet chráněných území,Národní přírodní památka,125.0
2023,Česko,Počet chráněných území,Národní přírodní rezervace,110.0
2023,Česko,Počet chráněných území,Přírodní památka,1612.0
2023,Česko,Počet chráněných území,Přírodní rezervace,818.0
2023,Česko,Rozloha chráněného území (ha),Národní park,119018.877
2023,Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,1138174.3925
2023,Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,116895.3675
2023,Česko,Rozloha chráněného území (ha),Národní přírodní památka,8222.6554
2023,Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,30440.7746
2023,Česko,Rozloha chráněného území (ha),Přírodní památka,34527.3268
2023,Česko,Rozloha chráněného území (ha),Přírodní rezervace,43704.6107
2023,Hlavní město Praha,Počet chráněných území,Národní park,0.0
2023,Hlavní město Praha,Počet chráněných území,Chráněná krajinná oblast,1.0
2023,Hlavní město Praha,Počet chráněných území,Maloplošné chráněné území,92.0
2023,Hlavní město Praha,Počet chráněných území,Národní přírodní památka,7.0
2023,Hlavní město Praha,Počet chráněných území,Národní přírodní rezervace,0.0
2023,Hlavní město Praha,Počet chráněných území,Přírodní památka,69.0
2023,Hlavní město Praha,Počet chráněných území,Přírodní rezervace,16.0
2023,Hlavní město Praha,Rozloha chráněného území (ha),Národní park,0.0
2023,Hlavní město Praha,Rozloha chráněného území (ha),Chráněná krajinná oblast,517.9465
2023,Hlavní město Praha,Rozloha chráněného území (ha),Maloplošné chráněné území,2382.7815
2023,Hlavní město Praha,Rozloha chráněného území (ha),Národní přírodní památka,93.5714
2023,Hlavní město Praha,Rozloha chráněného území (ha),Národní přírodní rezervace,0.0
2023,Hlavní město Praha,Rozloha chráněného území (ha),Přírodní památka,1110.9994
2023,Hlavní město Praha,Rozloha chráněného území (ha),Přírodní rezervace,1178.2107
2023,Středočeský kraj,Počet chráněných území,Národní park,0.0
2023,Středočeský kraj,Počet chráněných území,Chráněná krajinná oblast,6.0
2023,Středočeský kraj,Počet chráněných území,Maloplošné chráněné území,313.0
2023,Středočeský kraj,Počet chráněných území,Národní přírodní památka,22.0
2023,Středočeský kraj,Počet chráněných území,Národní přírodní rezervace,13.0
2023,Středočeský kraj,Počet chráněných území,Přírodní památka,198.0
2023,Středočeský kraj,Počet chráněných území,Přírodní rezervace,80.0
2023,Středočeský kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Středočeský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,109785.4772
2023,Středočeský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,17148.2083
2023,Středočeský kraj,Rozloha chráněného území (ha),Národní přírodní památka,1860.2456
2023,Středočeský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,4275.4771
2023,Středočeský kraj,Rozloha chráněného území (ha),Přírodní památka,4096.1825
2023,Středočeský kraj,Rozloha chráněného území (ha),Přírodní rezervace,6916.3031
2023,Jihočeský kraj,Počet chráněných území,Národní park,1.0
2023,Jihočeský kraj,Počet chráněných území,Chráněná krajinná oblast,3.0
2023,Jihočeský kraj,Počet chráněných území,Maloplošné chráněné území,339.0
2023,Jihočeský kraj,Počet chráněných území,Národní přírodní památka,17.0
2023,Jihočeský kraj,Počet chráněných území,Národní přírodní rezervace,10.0
2023,Jihočeský kraj,Počet chráněných území,Přírodní památka,199.0
2023,Jihočeský kraj,Počet chráněných území,Přírodní rezervace,113.0
2023,Jihočeský kraj,Rozloha chráněného území (ha),Národní park,33976.9254
2023,Jihočeský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,164099.661
2023,Jihočeský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,17145.787
2023,Jihočeský kraj,Rozloha chráněného území (ha),Národní přírodní památka,1450.7163
2023,Jihočeský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,3365.5316
2023,Jihočeský kraj,Rozloha chráněného území (ha),Přírodní památka,6979.0352
2023,Jihočeský kraj,Rozloha chráněného území (ha),Přírodní rezervace,5350.5039
2023,Plzeňský kraj,Počet chráněných území,Národní park,1.0
2023,Plzeňský kraj,Počet chráněných území,Chráněná krajinná oblast,5.0
2023,Plzeňský kraj,Počet chráněných území,Maloplošné chráněné území,196.0
2023,Plzeňský kraj,Počet chráněných území,Národní přírodní památka,5.0
2023,Plzeňský kraj,Počet chráněných území,Národní přírodní rezervace,6.0
2023,Plzeňský kraj,Počet chráněných území,Přírodní památka,94.0
2023,Plzeňský kraj,Počet chráněných území,Přírodní rezervace,91.0
2023,Plzeňský kraj,Rozloha chráněného území (ha),Národní park,34482.7874
2023,Plzeňský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,96904.6137
2023,Plzeňský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,6807.712
2023,Plzeňský kraj,Rozloha chráněného území (ha),Národní přírodní památka,230.5481
2023,Plzeňský kraj,Rozloha chráněného území (ha),Národní přírodní rezervace,781.2477
2023,Plzeňský kraj,Rozloha chráněného území (ha),Přírodní památka,2585.3309
2023,Plzeňský kraj,Rozloha chráněného území (ha),Přírodní rezervace,3210.5853
2023,Karlovarský kraj,Počet chráněných území,Národní park,0.0
2023,Karlovarský kraj,Počet chráněných území,Chráněná krajinná oblast,1.0
2023,Karlovarský kraj,Počet chráněných území,Maloplošné chráněné území,95.0
2023,Karlovarský kraj,Počet chráněných území,Národní přírodní památka,9.0
2023,Karlovarský kraj,Počet chráněných území,Národní přírodní rezervace,6.0
2023,Karlovarský kraj,Počet chráněných území,Přírodní památka,49.0
2023,Karlovarský kraj,Počet chráněných území,Přírodní rezervace,31.0
2023,Karlovarský kraj,Rozloha chráněného území (ha),Národní park,0.0
2023,Karlovarský kraj,Rozloha chráněného území (ha),Chráněná krajinná oblast,59272.8616
2023,Karlovarský kraj,Rozloha chráněného území (ha),Maloplošné chráněné území,6032.1939
2023,Karlovarský kraj,Rozloha chráněného území (ha),Národní přírodní památka,676.6928
