Zdroj znečišťování ovzduší,Území,Ukazatel,Druh látky znečišťující ovzduší,Roky,value
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2005,110690.90704041
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2006,113045.74119674
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2007,113619.92568968
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2008,107272.04326111
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2009,106686.00855086
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2010,113753.25765574
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2011,113672.10438116
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2012,115123.04910297
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2013,115947.40777397
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2014,110431.707818
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2015,110045.01368716
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2016,105871.78180406
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2017,105762.16992597
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2018,100399.04985139
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2019,94249.8305773
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2020,86013.14466154
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Tuhé látky,2021,85039.58973327
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2005,208467.69170848
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2006,206760.49330473
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2007,212067.38758834
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2008,170102.59798179
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2009,168771.65176582
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2010,163881.22941194
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2011,167507.86982786
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2012,160202.0710157
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2013,145253.02027264
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2014,134490.86699234
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2015,129375.17502015
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2016,115138.88383189
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2017,109971.28318695
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2018,96594.268793
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2019,79934.25189092
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2020,66625.05499136
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),2021,60826.20031953
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2005,299995.77967936
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2006,291780.3200137
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2007,290307.12514847
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2008,272944.37561651
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2009,255916.66722705
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2010,252969.81068995
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2011,239394.12401697
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2012,227596.10190295
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2013,215105.03462072
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2014,209919.91935723
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2015,204414.64929241
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2016,195204.26969629
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2017,191782.67174232
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2018,184576.10135667
