Území,Zdroj znečišťování ovzduší,Roky,Ukazatel,Druh látky znečišťující ovzduší,value
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Emise znečišťujících látek (t),Tuhé látky,110690.90704041
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),208467.69170848
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),299995.77967936
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1262683.61199029
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.40351184
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.64327832
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.80381407
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2005,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),16.01027088
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Emise znečišťujících látek (t),Tuhé látky,113045.74119674
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),206760.49330473
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),291780.3200137
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1266602.58462918
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.43337154
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.62163442
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.69964938
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2006,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),16.05997781
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Emise znečišťujících látek (t),Tuhé látky,113619.92568968
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),212067.38758834
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),290307.12514847
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1247039.62741793
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.4406582
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.68893523
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.68098587
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2007,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),15.8119965
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Emise znečišťujících látek (t),Tuhé látky,107272.04326111
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),170102.59798179
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),272944.37561651
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1176911.69147071
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.36019506
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2.15687804
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),3.46089793
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2008,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.92308177
