Území;Ukazatel;Roky;value
Česko;Produkce odpadů (t);2017;34678892.0107597
Česko;Produkce odpadů (t);2018;38045212.9486537
Česko;Produkce odpadů (t);2019;37472754.5570108
Česko;Produkce odpadů (t);2020;38629405.0312658
Česko;Produkce odpadů (t);2021;40209966.5860543
Česko;Produkce odpadů (t);2022;39176278.7812766
Česko;Produkce odpadů (t);2023;37950085.9290303
Česko;Produkce odpadů (kg/obyvatele);2017;3274.82948819
Česko;Produkce odpadů (kg/obyvatele);2018;3580.24406585
Česko;Produkce odpadů (kg/obyvatele);2019;3512.19576395
Česko;Produkce odpadů (kg/obyvatele);2020;3610.17247239
Česko;Produkce odpadů (kg/obyvatele);2021;3829.21064352
Česko;Produkce odpadů (kg/obyvatele);2022;3641.07883771
Česko;Produkce odpadů (kg/obyvatele);2023;3488.68720391
Česko;Nakládání s odpady celkem (t);2017;30019705.4802353
Česko;Nakládání s odpady celkem (t);2018;33743315.9650907
Česko;Nakládání s odpady celkem (t);2019;32684773.4500698
Česko;Nakládání s odpady celkem (t);2020;35777038.013392
Česko;Nakládání s odpady celkem (t);2021;35736938.3871468
Česko;Nakládání s odpady celkem (t);2022;34091538.8684236
Česko;Nakládání s odpady celkem (t);2023;32546037.5978937
Česko;Využívání odpadu celkem (t);2017;25799184.6016364
Česko;Využívání odpadu celkem (t);2018;28992808.9765614
Česko;Využívání odpadu celkem (t);2019;28005228.2571368
Česko;Využívání odpadu celkem (t);2020;30997537.0654802
Česko;Využívání odpadu celkem (t);2021;30867417.4049129
Česko;Využívání odpadu celkem (t);2022;29473385.1891918
Česko;Využívání odpadu celkem (t);2023;28017989.3993793
Česko;Energetické využití (t);2017;1235790.39312836
Česko;Energetické využití (t);2018;1200654.65773962
Česko;Energetické využití (t);2019;1295838.8221268
Česko;Energetické využití (t);2020;1382545.85838744
Česko;Energetické využití (t);2021;1373649.39212398
Česko;Energetické využití (t);2022;1326565.77111599
Česko;Energetické využití (t);2023;1401619.08798078
Česko;Recyklace materiálu (t);2017;14044725.6839863
Česko;Recyklace materiálu (t);2018;16191806.1004746
Česko;Recyklace materiálu (t);2019;15121810.8000818
Česko;Recyklace materiálu (t);2020;17113596.2499496
Česko;Recyklace materiálu (t);2021;17294981.0915834
Česko;Recyklace materiálu (t);2022;17502356.3614288
Česko;Recyklace materiálu (t);2023;17639013.4515644
Česko;Kompostování (t);2017;892245.34696973
Česko;Kompostování (t);2018;897336.51942638
Česko;Kompostování (t);2019;1027318.48222384
Česko;Kompostování (t);2020;1041509.17179168
Česko;Kompostování (t);2021;1041558.57259342
Česko;Kompostování (t);2022;1007004.64514702
Česko;Kompostování (t);2023;977012.37885479
Česko;Zasypávání (t);2017;9626423.17755201
Česko;Zasypávání (t);2018;10703011.6989208
Česko;Zasypávání (t);2019;10560260.1527043
Česko;Zasypávání (t);2020;11459885.7853515
Česko;Zasypávání (t);2021;11157228.3486121
Česko;Zasypávání (t);2022;9637458.4115
Česko;Zasypávání (t);2023;8000344.48097929
Česko;Odstranění odpadu celkem (t);2017;4220520.8785989
Česko;Odstranění odpadu celkem (t);2018;4750506.98852931
Česko;Odstranění odpadu celkem (t);2019;4679545.19293308
Česko;Odstranění odpadu celkem (t);2020;4779500.94791182
Česko;Odstranění odpadu celkem (t);2021;4869520.98223387
Česko;Odstranění odpadu celkem (t);2022;4618153.67923178
Česko;Odstranění odpadu celkem (t);2023;4528048.19851445
Česko;Spalování (bez energetického využití) (t);2017;89994.07038191
Česko;Spalování (bez energetického využití) (t);2018;93557.36905848
Česko;Spalování (bez energetického využití) (t);2019;89618.45938748
Česko;Spalování (bez energetického využití) (t);2020;88748.13289646
Česko;Spalování (bez energetického využití) (t);2021;86064.65540333
Česko;Spalování (bez energetického využití) (t);2022;73616.993649
Česko;Spalování (bez energetického využití) (t);2023;66443.237153
Česko;Skládkování (t);2017;4129901.43267547
Česko;Skládkování (t);2018;4655213.90717927
Česko;Skládkování (t);2019;4589120.7045456
Česko;Skládkování (t);2020;4689353.12253758
Česko;Skládkování (t);2021;4779605.61683054
Česko;Skládkování (t);2022;4540597.00913469
Česko;Skládkování (t);2023;4458336.19713093
Česko;Ostatní způsoby odstraňování odpadu;2017;625.37554152
Česko;Ostatní způsoby odstraňování odpadu;2018;1735.71229156
Česko;Ostatní způsoby odstraňování odpadu;2019;806.029
Česko;Ostatní způsoby odstraňování odpadu;2020;1399.69247779
Česko;Ostatní způsoby odstraňování odpadu;2021;3850.71
Česko;Ostatní způsoby odstraňování odpadu;2022;3939.67644809
Česko;Ostatní způsoby odstraňování odpadu;2023;3268.76423052
