Území;Roky;Ukazatel;value
Česko;2015;Voda fakturovaná (tis. m³);476775
Česko;2015;Voda fakturovaná domácnostem (tis. m³);318680
Česko;2016;Voda fakturovaná (tis. m³);478858
Česko;2016;Voda fakturovaná domácnostem (tis. m³);322274
Česko;2017;Voda fakturovaná (tis. m³);481973
Česko;2017;Voda fakturovaná domácnostem (tis. m³);324477
Česko;2018;Voda fakturovaná (tis. m³);490447
Česko;2018;Voda fakturovaná domácnostem (tis. m³);327787
Česko;2019;Voda fakturovaná (tis. m³);492591
Česko;2019;Voda fakturovaná domácnostem (tis. m³);333791
Česko;2020;Voda fakturovaná (tis. m³);479010
Česko;2020;Voda fakturovaná domácnostem (tis. m³);337495
Česko;2021;Voda fakturovaná (tis. m³);478747
Česko;2021;Voda fakturovaná domácnostem (tis. m³);342606
Česko;2022;Voda fakturovaná (tis. m³);478100
Česko;2022;Voda fakturovaná domácnostem (tis. m³);328746
