Čtvrtletí,Pohlaví,Území,Ukazatel,value
2. čtvrtletí 2025,Celkem,Česko,Obyvatelstvo ve věku 15 a více let (tis.osob),8846.9930261
2. čtvrtletí 2025,Celkem,Česko,Pracovní síla ekonomicky aktivní (tis. osob),5389.5180803
2. čtvrtletí 2025,Celkem,Česko,Zaměstnaní (tis. osob),5243.4576818
2. čtvrtletí 2025,Celkem,Česko,Nezaměstnaní (tis. osob),146.06039848
2. čtvrtletí 2025,Celkem,Česko,Ekonomicky neaktivní (tis. osob),3457.4749459
2. čtvrtletí 2025,Celkem,Česko,Míra ekonomické aktivity (%),60.919207965
2. čtvrtletí 2025,Celkem,Česko,Míra zaměstnanosti (%),59.268247034
2. čtvrtletí 2025,Celkem,Česko,Obecná míra nezaměstnanosti (%),2.7100827254
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Obyvatelstvo ve věku 15 a více let (tis.osob),1106.8946237
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Pracovní síla ekonomicky aktivní (tis. osob),733.20143545
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Zaměstnaní (tis. osob),722.43946631
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Nezaměstnaní (tis. osob),10.761969133
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Ekonomicky neaktivní (tis. osob),373.69318822
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Míra ekonomické aktivity (%),66.239497398
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Míra zaměstnanosti (%),65.26723058
2. čtvrtletí 2025,Celkem,Hlavní město Praha,Obecná míra nezaměstnanosti (%),1.467805246
2. čtvrtletí 2025,Celkem,Středočeský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),1160.884999
2. čtvrtletí 2025,Celkem,Středočeský kraj,Pracovní síla ekonomicky aktivní (tis. osob),720.58696173
2. čtvrtletí 2025,Celkem,Středočeský kraj,Zaměstnaní (tis. osob),710.38961951
2. čtvrtletí 2025,Celkem,Středočeský kraj,Nezaměstnaní (tis. osob),10.197342228
2. čtvrtletí 2025,Celkem,Středočeský kraj,Ekonomicky neaktivní (tis. osob),440.29803722
2. čtvrtletí 2025,Celkem,Středočeský kraj,Míra ekonomické aktivity (%),62.072208908
2. čtvrtletí 2025,Celkem,Středočeský kraj,Míra zaměstnanosti (%),61.193797848
2. čtvrtletí 2025,Celkem,Středočeský kraj,Obecná míra nezaměstnanosti (%),1.4151438715
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),535.2537899
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Pracovní síla ekonomicky aktivní (tis. osob),317.56235952
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Zaměstnaní (tis. osob),310.52790261
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Nezaměstnaní (tis. osob),7.034456906
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Ekonomicky neaktivní (tis. osob),217.69143038
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Míra ekonomické aktivity (%),59.329306118
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Míra zaměstnanosti (%),58.015077796
2. čtvrtletí 2025,Celkem,Jihočeský kraj,Obecná míra nezaměstnanosti (%),2.2151419068
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),496.42060477
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Pracovní síla ekonomicky aktivní (tis. osob),305.14561653
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Zaměstnaní (tis. osob),299.29818514
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Nezaměstnaní (tis. osob),5.847431389
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Ekonomicky neaktivní (tis. osob),191.27498823
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Míra ekonomické aktivity (%),61.469168202
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Míra zaměstnanosti (%),60.291249451
2. čtvrtletí 2025,Celkem,Plzeňský kraj,Obecná míra nezaměstnanosti (%),1.9162757294
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),238.43432771
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Pracovní síla ekonomicky aktivní (tis. osob),150.62534423
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Zaměstnaní (tis. osob),144.23454818
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Nezaměstnaní (tis. osob),6.390796052
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Ekonomicky neaktivní (tis. osob),87.808983481
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Míra ekonomické aktivity (%),63.172675544
2. čtvrtletí 2025,Celkem,Karlovarský kraj,Míra zaměstnanosti (%),60.492358446
