ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,Celkem,5243.4576818
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,"Zaměstnanci, členové produkčních družstev",4426.7261126
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,Zaměstnavatelé,115.06051526
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,Osoby pracující na vlastní účet,690.40989948
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,Pomáhající rodinní příslušníci,10.867956806
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2025,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,Celkem,5225.3492057
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,"Zaměstnanci, členové produkčních družstev",4415.2718003
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,Zaměstnavatelé,115.51079902
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,Osoby pracující na vlastní účet,682.73442531
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,Pomáhající rodinní příslušníci,10.529911869
Česko,Zaměstnaní (tis. osob),Celkem,1. čtvrtletí 2025,Nezjištěno,1.302269189
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,Celkem,5203.9960909
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,"Zaměstnanci, členové produkčních družstev",4391.7804778
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,Zaměstnavatelé,113.74510015
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,Osoby pracující na vlastní účet,685.85172302
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,Pomáhající rodinní příslušníci,10.53649529
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2024,Nezjištěno,2.08229459
