Roky,Ukazatel,Pohlaví,Území,Nejvyšší ukončené vzdělání,value
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Celkem,138.77819279
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Základní ,32.705624845
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Střední bez maturity,48.500414677
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Střední s maturitou,37.148504772
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Vyšší a vysokoškolské,20.423648494
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Celkem,12.760366115
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Základní ,0.8678847483
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Střední bez maturity,2.9736825955
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Střední s maturitou,4.0597322658
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Vyšší a vysokoškolské,4.8590665053
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Celkem,9.285878661
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Základní ,3.505873936
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Střední bez maturity,2.1347618028
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Střední s maturitou,2.6540197618
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Vyšší a vysokoškolské,0.9912231605
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Celkem,9.1690926283
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Základní ,2.5175735105
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Střední bez maturity,3.127435799
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Střední s maturitou,1.8288115148
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Vyšší a vysokoškolské,1.695271804
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Celkem,5.458634011
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Základní ,1.2839216533
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Střední bez maturity,2.3250320133
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Střední s maturitou,1.286718704
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Vyšší a vysokoškolské,0.5629616405
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Celkem,6.1465823997
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Základní ,2.8222680598
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Střední bez maturity,2.1043041885
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Střední s maturitou,0.818172944
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Vyšší a vysokoškolské,
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Celkem,15.66016019
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Základní ,6.42300977
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Střední bez maturity,4.919269256
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Střední s maturitou,3.0624054053
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Vyšší a vysokoškolské,1.2554757583
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Celkem,6.718705128
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Základní ,2.3424659383
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Střední bez maturity,2.0087092465
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Střední s maturitou,1.8865466765
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Vyšší a vysokoškolské,
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Celkem,9.2023975682
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Základní ,1.3826597175
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Střední bez maturity,3.4693237118
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Střední s maturitou,3.1535683955
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Vyšší a vysokoškolské,1.1968457435
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Celkem,5.2285772398
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Základní ,0.9420030578
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Střední bez maturity,1.7693845543
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Střední s maturitou,1.776193984
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Vyšší a vysokoškolské,0.7409956438
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Celkem,4.6928055993
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Základní ,0.9222596355
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Střední bez maturity,2.0645784378
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Střední s maturitou,0.7767404065
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Vyšší a vysokoškolské,0.9292271195
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Celkem,15.870253012
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Základní ,2.3995039473
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Střední bez maturity,5.6595401668
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Střední s maturitou,5.8177964918
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Vyšší a vysokoškolské,1.993412406
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Celkem,9.7612648142
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Základní ,1.8854047593
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Střední bez maturity,3.9980932348
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Střední s maturitou,2.3293007168
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Vyšší a vysokoškolské,1.5484661035
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Celkem,5.4796472673
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Základní ,0.5364034923
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Střední bez maturity,2.539560933
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Střední s maturitou,1.3505248355
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Vyšší a vysokoškolské,1.0531580065
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Celkem,23.343828155
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Základní ,4.8743926198
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Střední bez maturity,9.4067387378
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Střední s maturitou,6.3479726695
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Vyšší a vysokoškolské,2.7147241283
