Území;Čtvrtletí;Ukazatel;Věkové skupiny;Pohlaví;value
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 19;Celkem;27.233593196
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 19;Ženy;32.932520463
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 19;Muži;22.484123329
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);20 až 24;Celkem;6.6588661658
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);20 až 24;Ženy;7.9406201433
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);20 až 24;Muži;5.639555832
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);25 až 29;Celkem;3.3608193421
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);25 až 29;Ženy;3.2766433562
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);25 až 29;Muži;3.4234165713
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);30 až 34;Celkem;2.4815877975
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);30 až 34;Ženy;4.0777115668
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);30 až 34;Muži;1.516903268
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);35 až 39;Celkem;2.4223696561
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);35 až 39;Ženy;3.3463988532
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);35 až 39;Muži;1.7345361632
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);40 až 44;Celkem;1.8650390571
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);40 až 44;Ženy;1.9661212519
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);40 až 44;Muži;1.7703896483
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);45 až 49;Celkem;1.8114874625
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);45 až 49;Ženy;2.5379774665
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);45 až 49;Muži;1.1328585031
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);50 až 54;Celkem;1.7963885128
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);50 až 54;Ženy;1.9751288079
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);50 až 54;Muži;1.6296553818
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);55 až 59;Celkem;2.1265754412
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);55 až 59;Ženy;1.9971174031
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);55 až 59;Muži;2.2506735886
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);60 až 64;Celkem;2.2505140503
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);60 až 64;Ženy;2.852815035
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);60 až 64;Muži;1.7405154931
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);65 a více let;Celkem;0.3135098246
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);65 a více let;Ženy;
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);65 a více let;Muži;
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 64;Celkem;2.5794381231
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 64;Ženy;3.0820466788
Česko;4. čtvrtletí 2024;Obecná míra nezaměstnanosti (%);15 až 64;Muži;2.1562859238
