Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Věkové skupiny,value
Míra zaměstnanosti (%),Celkem,2024,Česko,15 až 19,5.0298978485
Míra zaměstnanosti (%),Celkem,2024,Česko,20 až 24,46.910868906
Míra zaměstnanosti (%),Celkem,2024,Česko,25 až 29,77.946974419
Míra zaměstnanosti (%),Celkem,2024,Česko,30 až 34,79.878820437
Míra zaměstnanosti (%),Celkem,2024,Česko,35 až 39,85.901524714
Míra zaměstnanosti (%),Celkem,2024,Česko,40 až 44,91.526457357
Míra zaměstnanosti (%),Celkem,2024,Česko,45 až 49,94.013346157
Míra zaměstnanosti (%),Celkem,2024,Česko,45 až 54,93.567813578
Míra zaměstnanosti (%),Celkem,2024,Česko,50 až 54,93.033343158
Míra zaměstnanosti (%),Celkem,2024,Česko,55 až 59,89.892788061
Míra zaměstnanosti (%),Celkem,2024,Česko,60 až 64,62.909624467
Míra zaměstnanosti (%),Celkem,2024,Česko,65 a více let,8.4498800695
Míra zaměstnanosti (%),Celkem,2024,Česko,55 až 64,76.972204716
Míra zaměstnanosti (%),Celkem,2024,Praha,15 až 19,5.4763366729
Míra zaměstnanosti (%),Celkem,2024,Praha,20 až 24,45.029916104
Míra zaměstnanosti (%),Celkem,2024,Praha,25 až 29,82.972277122
Míra zaměstnanosti (%),Celkem,2024,Praha,30 až 34,81.529965643
Míra zaměstnanosti (%),Celkem,2024,Praha,35 až 39,88.065577581
Míra zaměstnanosti (%),Celkem,2024,Praha,40 až 44,92.194439742
Míra zaměstnanosti (%),Celkem,2024,Praha,45 až 49,94.983759581
Míra zaměstnanosti (%),Celkem,2024,Praha,45 až 54,95.213526519
Míra zaměstnanosti (%),Celkem,2024,Praha,50 až 54,95.5174661
Míra zaměstnanosti (%),Celkem,2024,Praha,55 až 59,92.051136513
Míra zaměstnanosti (%),Celkem,2024,Praha,60 až 64,77.305652451
Míra zaměstnanosti (%),Celkem,2024,Praha,65 a více let,17.014993104
Míra zaměstnanosti (%),Celkem,2024,Praha,55 až 64,85.102819004
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,15 až 19,4.7973649
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,20 až 24,39.508465054
Míra zaměstnanosti (%),Celkem,2024,Střední Čechy,25 až 29,74.801407962
