Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Nejvyšší ukončené vzdělání,value
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,Celkem,2.6031345889
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,Základní ,12.062031304
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,Střední bez maturity,2.9311698256
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,Střední s maturitou,1.9173510602
Obecná míra nezaměstnanosti (%),Celkem,2024,Česko,Vyšší a vysokoškolské,1.3917414395
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,Celkem,1.7477001805
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,Základní ,5.5177642413
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,Střední bez maturity,3.4403174597
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,Střední s maturitou,1.621555506
Obecná míra nezaměstnanosti (%),Celkem,2024,Praha,Vyšší a vysokoškolské,1.2868368092
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,Celkem,1.3156859157
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,Základní ,9.8014282389
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,Střední bez maturity,0.8981914055
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,Střední s maturitou,0.9900602599
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Čechy,Vyšší a vysokoškolské,0.6033982524
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,Celkem,2.3377471404
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,Základní ,10.353521703
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,Střední bez maturity,2.579997608
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,Střední s maturitou,1.3613387549
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,Vyšší a vysokoškolské,1.5175480802
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,Celkem,4.0894116118
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,Základní ,17.455328475
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,Střední bez maturity,3.5586887186
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,Střední s maturitou,2.0400978407
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,Vyšší a vysokoškolské,1.7884149147
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,Celkem,2.8864509563
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,Základní ,12.83979835
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,Střední bez maturity,2.7869924125
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,Střední s maturitou,2.4742167946
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,Vyšší a vysokoškolské,1.5063185874
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,Celkem,2.4204193523
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,Základní ,9.4380896192
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,Střední bez maturity,2.9379380893
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,Střední s maturitou,2.1807398993
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,Vyšší a vysokoškolské,1.1736625453
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,Celkem,2.6156212292
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,Základní ,9.0971399059
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,Střední bez maturity,3.2215135928
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,Střední s maturitou,1.6824542426
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,Vyšší a vysokoškolské,1.9368881114
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,Celkem,4.0857649723
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,Základní ,15.328682657
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,Střední bez maturity,4.8007654299
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,Střední s maturitou,3.1212271855
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,Vyšší a vysokoškolské,1.936004296
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,Celkem,1.7477001805
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,Základní ,5.5177642413
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,Střední bez maturity,3.4403174597
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,Střední s maturitou,1.621555506
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,Vyšší a vysokoškolské,1.2868368092
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,Celkem,1.3156859157
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,Základní ,9.8014282389
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,Střední bez maturity,0.8981914055
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,Střední s maturitou,0.9900602599
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,Vyšší a vysokoškolské,0.6033982524
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Celkem,2.8530830182
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,Základní ,13.314032947
