Území,Roky,Ukazatel,Pohlaví,Věkové skupiny,Délka pracovní doby,value
Česko,2024,Zaměstnaní (tis. osob),Celkem,Celkem,Celkem,5192.4172583
Česko,2024,Zaměstnaní (tis. osob),Celkem,Celkem,Plná pracovní doba,4708.2081292
Česko,2024,Zaměstnaní (tis. osob),Celkem,Celkem,Kratší pracovní doba,481.02221757
Česko,2024,Zaměstnaní (tis. osob),Celkem,Celkem,Nezjištěno,3.186911553
Česko,2024,Zaměstnaní (tis. osob),Celkem,15 až 19,Celkem,29.503229871
Česko,2024,Zaměstnaní (tis. osob),Celkem,15 až 19,Plná pracovní doba,14.8178361
Česko,2024,Zaměstnaní (tis. osob),Celkem,15 až 19,Kratší pracovní doba,14.633990321
Česko,2024,Zaměstnaní (tis. osob),Celkem,15 až 19,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,20 až 24,Celkem,239.0764445
Česko,2024,Zaměstnaní (tis. osob),Celkem,20 až 24,Plná pracovní doba,192.56512977
Česko,2024,Zaměstnaní (tis. osob),Celkem,20 až 24,Kratší pracovní doba,46.239868776
Česko,2024,Zaměstnaní (tis. osob),Celkem,20 až 24,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,25 až 29,Celkem,419.25786376
Česko,2024,Zaměstnaní (tis. osob),Celkem,25 až 29,Plná pracovní doba,389.19039654
Česko,2024,Zaměstnaní (tis. osob),Celkem,25 až 29,Kratší pracovní doba,29.626668591
Česko,2024,Zaměstnaní (tis. osob),Celkem,25 až 29,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,30 až 34,Celkem,524.64419757
Česko,2024,Zaměstnaní (tis. osob),Celkem,30 až 34,Plná pracovní doba,484.76590149
Česko,2024,Zaměstnaní (tis. osob),Celkem,30 až 34,Kratší pracovní doba,39.62349808
Česko,2024,Zaměstnaní (tis. osob),Celkem,30 až 34,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,35 až 39,Celkem,594.77167813
Česko,2024,Zaměstnaní (tis. osob),Celkem,35 až 39,Plná pracovní doba,544.59143365
Česko,2024,Zaměstnaní (tis. osob),Celkem,35 až 39,Kratší pracovní doba,50.069171215
Česko,2024,Zaměstnaní (tis. osob),Celkem,35 až 39,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,40 až 44,Celkem,708.66458816
Česko,2024,Zaměstnaní (tis. osob),Celkem,40 až 44,Plná pracovní doba,651.35462524
Česko,2024,Zaměstnaní (tis. osob),Celkem,40 až 44,Kratší pracovní doba,56.985068405
Česko,2024,Zaměstnaní (tis. osob),Celkem,40 až 44,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,45 až 49,Celkem,846.47410485
Česko,2024,Zaměstnaní (tis. osob),Celkem,45 až 49,Plná pracovní doba,800.03966774
Česko,2024,Zaměstnaní (tis. osob),Celkem,45 až 49,Kratší pracovní doba,46.163499311
Česko,2024,Zaměstnaní (tis. osob),Celkem,45 až 49,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,50 až 54,Celkem,698.26228462
Česko,2024,Zaměstnaní (tis. osob),Celkem,50 až 54,Plná pracovní doba,663.88699877
Česko,2024,Zaměstnaní (tis. osob),Celkem,50 až 54,Kratší pracovní doba,34.271900066
Česko,2024,Zaměstnaní (tis. osob),Celkem,50 až 54,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,55 až 59,Celkem,578.07424417
Česko,2024,Zaměstnaní (tis. osob),Celkem,55 až 59,Plná pracovní doba,541.44056689
Česko,2024,Zaměstnaní (tis. osob),Celkem,55 až 59,Kratší pracovní doba,36.41302526
Česko,2024,Zaměstnaní (tis. osob),Celkem,55 až 59,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,60 až 64,Celkem,371.70035024
Česko,2024,Zaměstnaní (tis. osob),Celkem,60 až 64,Plná pracovní doba,338.14565124
Česko,2024,Zaměstnaní (tis. osob),Celkem,60 až 64,Kratší pracovní doba,33.069439641
Česko,2024,Zaměstnaní (tis. osob),Celkem,60 až 64,Nezjištěno,
Česko,2024,Zaměstnaní (tis. osob),Celkem,65 a více let,Celkem,181.98827243
Česko,2024,Zaměstnaní (tis. osob),Celkem,65 a více let,Plná pracovní doba,87.409921731
Česko,2024,Zaměstnaní (tis. osob),Celkem,65 a více let,Kratší pracovní doba,93.926087899
Česko,2024,Zaměstnaní (tis. osob),Celkem,65 a více let,Nezjištěno,0.652262804
