Území,Roky,Vzdělání,Ukazatel,Pohlaví,value
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Celkem,48936
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Ženy,43741
Česko,2024,Celkem,Průměrná hrubá měsíční mzda (Kč),Muži,53423
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Celkem,41742
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Ženy,38676
Česko,2024,Celkem,Medián měsíčních mezd (Kč),Muži,44740
Česko,2024,Základní a nedokončené,Průměrná hrubá měsíční mzda (Kč),Celkem,35275
Česko,2024,Základní a nedokončené,Průměrná hrubá měsíční mzda (Kč),Ženy,31950
Česko,2024,Základní a nedokončené,Průměrná hrubá měsíční mzda (Kč),Muži,38053
Česko,2024,Základní a nedokončené,Medián měsíčních mezd (Kč),Celkem,33260
Česko,2024,Základní a nedokončené,Medián měsíčních mezd (Kč),Ženy,30713
Česko,2024,Základní a nedokončené,Medián měsíčních mezd (Kč),Muži,35996
Česko,2024,Střední bez maturity,Průměrná hrubá měsíční mzda (Kč),Celkem,37517
Česko,2024,Střední bez maturity,Průměrná hrubá měsíční mzda (Kč),Ženy,31891
Česko,2024,Střední bez maturity,Průměrná hrubá měsíční mzda (Kč),Muži,40631
Česko,2024,Střední bez maturity,Medián měsíčních mezd (Kč),Celkem,35266
Česko,2024,Střední bez maturity,Medián měsíčních mezd (Kč),Ženy,30210
Česko,2024,Střední bez maturity,Medián měsíčních mezd (Kč),Muži,38943
Česko,2024,Střední s maturitou,Průměrná hrubá měsíční mzda (Kč),Celkem,47121
Česko,2024,Střední s maturitou,Průměrná hrubá měsíční mzda (Kč),Ženy,42027
Česko,2024,Střední s maturitou,Průměrná hrubá měsíční mzda (Kč),Muži,52390
Česko,2024,Střední s maturitou,Medián měsíčních mezd (Kč),Celkem,42330
Česko,2024,Střední s maturitou,Medián měsíčních mezd (Kč),Ženy,38887
Česko,2024,Střední s maturitou,Medián měsíčních mezd (Kč),Muži,47005
Česko,2024,Vyšší odborné a bakalářské,Průměrná hrubá měsíční mzda (Kč),Celkem,56513
Česko,2024,Vyšší odborné a bakalářské,Průměrná hrubá měsíční mzda (Kč),Ženy,49897
Česko,2024,Vyšší odborné a bakalářské,Průměrná hrubá měsíční mzda (Kč),Muži,66371
Česko,2024,Vyšší odborné a bakalářské,Medián měsíčních mezd (Kč),Celkem,48680
Česko,2024,Vyšší odborné a bakalářské,Medián měsíčních mezd (Kč),Ženy,45256
Česko,2024,Vyšší odborné a bakalářské,Medián měsíčních mezd (Kč),Muži,56065
Česko,2024,Vysokoškolské ,Průměrná hrubá měsíční mzda (Kč),Celkem,72770
Česko,2024,Vysokoškolské ,Průměrná hrubá měsíční mzda (Kč),Ženy,61879
Česko,2024,Vysokoškolské ,Průměrná hrubá měsíční mzda (Kč),Muži,83338
Česko,2024,Vysokoškolské ,Medián měsíčních mezd (Kč),Celkem,57848
Česko,2024,Vysokoškolské ,Medián měsíčních mezd (Kč),Ženy,53115
Česko,2024,Vysokoškolské ,Medián měsíčních mezd (Kč),Muži,66757
Česko,2024,Nezjištěno,Průměrná hrubá měsíční mzda (Kč),Celkem,42157
Česko,2024,Nezjištěno,Průměrná hrubá měsíční mzda (Kč),Ženy,38769
Česko,2024,Nezjištěno,Průměrná hrubá měsíční mzda (Kč),Muži,45047
Česko,2024,Nezjištěno,Medián měsíčních mezd (Kč),Celkem,34035
Česko,2024,Nezjištěno,Medián měsíčních mezd (Kč),Ženy,33380
Česko,2024,Nezjištěno,Medián měsíčních mezd (Kč),Muži,34494
