Území,Ukazatel,Roky,value
Česko,Maso celkem,2000,703052.0
Česko,Maso celkem,2001,714474.0
Česko,Maso celkem,2002,742170.0
Česko,Maso celkem,2003,731648.0
Česko,Maso celkem,2004,691301.0
Česko,Maso celkem,2005,647728.0
Česko,Maso celkem,2006,628585.0
Česko,Maso celkem,2007,626297.0
Česko,Maso celkem,2008,598953.0
Česko,Maso celkem,2009,556066.0
Česko,Maso celkem,2010,538554.0
Česko,Maso celkem,2011,505397.0
Česko,Maso celkem,2012,458328.786
Česko,Maso celkem,2013,447524.918
Česko,Maso celkem,2014,451185.733
Česko,Maso celkem,2015,447651.329
Česko,Maso celkem,2016,448967.276
Česko,Maso celkem,2017,437834.791
Česko,Maso celkem,2018,447010.176
Česko,Maso celkem,2019,450774.444
Česko,Maso celkem,2020,454845.862
Česko,Maso celkem,2021,466856.027
Česko,Maso celkem,2022,447317.034
Česko,Maso celkem,2023,435908.361
Česko,Maso celkem,2024,450075.499
Česko,Maso bez drůbežího,2000,504595.0
Česko,Maso bez drůbežího,2001,506840.0
Česko,Maso bez drůbežího,2002,520451.0
Česko,Maso bez drůbežího,2003,519547.0
Česko,Maso bez drůbežího,2004,473623.0
Česko,Maso bez drůbežího,2005,420966.0
Česko,Maso bez drůbežího,2006,412475.0
Česko,Maso bez drůbežího,2007,420471.0
Česko,Maso bez drůbežího,2008,397260.0
Česko,Maso bez drůbežího,2009,361814.0
Česko,Maso bez drůbežího,2010,350376.0
Česko,Maso bez drůbežího,2011,335313.0
Česko,Maso bez drůbežího,2012,305715.629
Česko,Maso bez drůbežího,2013,299351.296
Česko,Maso bez drůbežího,2014,301775.878
Česko,Maso bez drůbežího,2015,296244.838
Česko,Maso bez drůbežího,2016,292475.025
Česko,Maso bez drůbežího,2017,278929.156
Česko,Maso bez drůbežího,2018,282749.028
Česko,Maso bez drůbežího,2019,282730.705
Česko,Maso bez drůbežího,2020,284121.034
Česko,Maso bez drůbežího,2021,289699.295
Česko,Maso bez drůbežího,2022,277353.184
Česko,Maso bez drůbežího,2023,268221.392
Česko,Maso bez drůbežího,2024,280541.447
Česko,Hovězí,2000,108161.0
Česko,Hovězí,2001,106045.0
Česko,Hovězí,2002,109494.0
Česko,Hovězí,2003,108126.0
Česko,Hovězí,2004,96660.0
Česko,Hovězí,2005,81031.0
Česko,Hovězí,2006,79187.0
