Ukazatel,Území,Roky,Právní forma užívání bytu,Ekonomická aktivita osoby v čele domácnosti,value
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Celkem,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Zaměstnanci ,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Samostatně činní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Důchodci,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Nezaměstnaní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt ve vlastním domě,Ostatní domácnosti,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Celkem,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Zaměstnanci ,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Samostatně činní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Důchodci,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Nezaměstnaní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt v osobním vlastnictví,Ostatní domácnosti,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Celkem,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Zaměstnanci ,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Samostatně činní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Důchodci,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Nezaměstnaní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt družstevní,Ostatní domácnosti,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Celkem,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Zaměstnanci ,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Samostatně činní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Důchodci,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Nezaměstnaní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,Byt pronajatý,Ostatní domácnosti,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Celkem,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Zaměstnanci ,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Zaměstnanci s nižším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Zaměstnanci s vyšším vzděláním,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Samostatně činní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Důchodci,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Nezaměstnaní,
Podíl hospodařících domácností podle právní formy užívání bytu (%),Česko,2024,"Byt u příbuzných, známých",Ostatní domácnosti,
