Ukazatel;Území;Roky;Velikost obce;Ekonomická aktivita osoby v čele domácnosti;value
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;Do 1 000 obyvatel;Ostatní domácnosti;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;1 000 - 4 999;Ostatní domácnosti;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;5 000 - 9 999;Ostatní domácnosti;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;10 000 - 49 999;Ostatní domácnosti;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;50 000 - 99 999;Ostatní domácnosti;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Celkem;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Zaměstnanci ;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Zaměstnanci s nižším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Zaměstnanci s vyšším vzděláním;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Samostatně činní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Důchodci;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Nezaměstnaní;
Podíl hospodařících domácností podle velikosti obce (%);Česko;2024;100 000 a více obyvatel;Ostatní domácnosti;
