Category,Metric,Description
Traces,Trace Count,Total number of traces executed (collection of runs per operation).
Traces,Error Rate,Percentage of traces that resulted in an error.
LLM Calls,LLM Call Count,Total number of LLM invocations (run type "llm").
Latency,Average Latency,Mean latency across all requests.
Latency,P50 Latency,Median overall request latency.
Latency,P99 Latency,99th percentile overall request latency.
Latency,P50 First Token Latency,Median time to receive first token in streaming response.
Latency,P99 First Token Latency,99th percentile time to first token in streaming response.
Tokens,Total Tokens,Total tokens processed (prompt + completion).
Tokens,Prompt Tokens,Number of tokens in input prompts.
Tokens,Completion Tokens,Number of tokens in generated outputs.
Tokens,Median Tokens,Median token count per request.
Cost,Total Cost,Aggregate monetary cost for all requests.
Cost,Prompt Cost,Cost attributed to processing input prompts.
Cost,Completion Cost,Cost attributed to generating outputs.
Cost,P50 Cost per Trace,Median cost per trace.
Cost,P99 Cost per Trace,99th percentile cost per trace.
Tools,Tool Run Count,Number of tool executions (top 5 most frequent).
Tools,Tool Error Rate,Percentage of tool runs resulting in errors.
Tools,Tool Latency,Latency statistics for tool executions by tool name.
Feedback Scores,Feedback Count,Total number of user feedback submissions.
Feedback Scores,Average Feedback Score,Mean score from numerical feedback submissions.
Feedback Scores,Feedback Category Distribution,Distribution of categorical feedback values (top 5 types).
Run Types,Run Type Distribution,Count and statistics for depth-1 runs (top 5 run names).
